# 
#       Bin     Y_Min     Y_Max     Value  Uncertainty
         1        0.7        2.5 7.29153e-05 0.00853904
         2        2.5          5 6.85751e-05 0.00828101
         3          5        7.5 8.1665e-05 0.00903687
         4        7.5         10 7.18235e-05 0.00847488
         5         10       12.5 6.69618e-05 0.00818302
         6       12.5         15 6.30078e-05 0.00793775
         7         15       17.5 5.82194e-05 0.00763017
         8       17.5         20 0.000179046  0.0133808
         9         20         30 7.54057e-05 0.00868364
        10         30         40 0.000192831  0.0138864
        11         40         50 0.000152971  0.0123682
        12         50         70 0.000240803  0.0155178
        13         70         90 0.000198472   0.014088
        14         90        110 9.28085e-05 0.00963372
        15        110        150 0.000301546  0.0173651
        16        150        190 0.000744388  0.0272835
        17        190        250 0.00129192  0.0359433
        18        250        600 0.00184239   0.042923
        19        600       3500   0.021128   0.145355
