# 
#       Bin     Y_Min     Y_Max     Value  Uncertainty
         1         -5       -4.9          0          0
         2       -4.9       -4.8          0          0
         3       -4.8       -4.7          0          0
         4       -4.7       -4.6          0          0
         5       -4.6       -4.5          0          0
         6       -4.5       -4.4          0          0
         7       -4.4       -4.3          0          0
         8       -4.3       -4.2          0          0
         9       -4.2       -4.1          0          0
        10       -4.1         -4          0          0
        11         -4       -3.9          0          0
        12       -3.9       -3.8          0          0
        13       -3.8       -3.7 5.34772e-05 0.00731281
        14       -3.7       -3.6 0.000263323  0.0162272
        15       -3.6       -3.5 0.000202799  0.0142407
        16       -3.5       -3.4 0.000375415  0.0193756
        17       -3.4       -3.3 0.000178759  0.0133701
        18       -3.3       -3.2 0.000767587  0.0277054
        19       -3.2       -3.1 0.00147672  0.0384281
        20       -3.1         -3 0.00164286  0.0405322
        21         -3       -2.9 0.000599617  0.0244871
        22       -2.9       -2.8 0.000761328  0.0275922
        23       -2.8       -2.7 0.00126679   0.035592
        24       -2.7       -2.6 0.00109914  0.0331533
        25       -2.6       -2.5  0.0016261   0.040325
        26       -2.5       -2.4 0.000254889  0.0159652
        27       -2.4       -2.3 0.000598806  0.0244705
        28       -2.3       -2.2 0.000765236  0.0276629
        29       -2.2       -2.1 0.00030513   0.017468
        30       -2.1         -2 0.00031535  0.0177581
        31         -2       -1.9 0.00029277  0.0171105
        32       -1.9       -1.8 0.000514646  0.0226858
        33       -1.8       -1.7 0.000178699  0.0133678
        34       -1.7       -1.6 0.000372238  0.0192935
        35       -1.6       -1.5 0.000259042  0.0160948
        36       -1.5       -1.4 0.000503877  0.0224472
        37       -1.4       -1.3 0.000253826  0.0159319
        38       -1.3       -1.2 0.000472746  0.0217427
        39       -1.2       -1.1 0.000200677  0.0141661
        40       -1.1         -1 0.000271687  0.0164829
        41         -1       -0.9 0.000352191  0.0187668
        42       -0.9       -0.8 0.000515661  0.0227082
        43       -0.8       -0.7 0.000340299  0.0184472
        44       -0.7       -0.6 0.000476181  0.0218216
        45       -0.6       -0.5 0.000386706  0.0196648
        46       -0.5       -0.4 0.000221122  0.0148702
        47       -0.4       -0.3 0.000236114   0.015366
        48       -0.3       -0.2 0.000341305  0.0184744
        49       -0.2       -0.1 0.000651749  0.0255294
        50       -0.1          0 0.000142471  0.0119361
        51          0        0.1 0.000282642   0.016812
        52        0.1        0.2 0.000605744  0.0246119
        53        0.2        0.3 0.000696453  0.0263904
        54        0.3        0.4 0.000306652  0.0175115
        55        0.4        0.5 9.51296e-05 0.00975344
        56        0.5        0.6 0.000620611  0.0249121
        57        0.6        0.7 0.000520976  0.0228249
        58        0.7        0.8 5.95701e-05 0.00771817
        59        0.8        0.9 0.000615254  0.0248043
        60        0.9          1 0.000299254   0.017299
        61          1        1.1 0.00035545  0.0188534
        62        1.1        1.2 0.000184624  0.0135877
        63        1.2        1.3 0.000283534  0.0168385
        64        1.3        1.4 0.000491991  0.0221809
        65        1.4        1.5 9.22228e-05 0.00960327
        66        1.5        1.6 0.00024681  0.0157102
        67        1.6        1.7 7.93031e-05 0.00890523
        68        1.7        1.8 0.00103788  0.0322162
        69        1.8        1.9 0.000161401  0.0127044
        70        1.9          2 0.000126457  0.0112453
        71          2        2.1 0.00010803  0.0103938
        72        2.1        2.2 8.29309e-05 0.00910664
        73        2.2        2.3 0.00036498  0.0191045
        74        2.3        2.4 0.000224624  0.0149875
        75        2.4        2.5 0.000451952  0.0212592
        76        2.5        2.6 0.00102428  0.0320043
        77        2.6        2.7 0.00068105  0.0260969
        78        2.7        2.8 0.000706261  0.0265756
        79        2.8        2.9 0.00196967   0.044381
        80        2.9          3 0.00195248  0.0441869
        81          3        3.1 0.000834038  0.0288797
        82        3.1        3.2 0.000678147  0.0260413
        83        3.2        3.3 0.00182809  0.0427562
        84        3.3        3.4 0.000829831  0.0288068
        85        3.4        3.5 0.000401531  0.0200382
        86        3.5        3.6 0.00121774  0.0348961
        87        3.6        3.7 0.000322142  0.0179483
        88        3.7        3.8 0.000126082  0.0112286
        89        3.8        3.9          0          0
        90        3.9          4          0          0
        91          4        4.1          0          0
        92        4.1        4.2          0          0
        93        4.2        4.3          0          0
        94        4.3        4.4          0          0
        95        4.4        4.5          0          0
        96        4.5        4.6          0          0
        97        4.6        4.7          0          0
        98        4.7        4.8          0          0
        99        4.8        4.9          0          0
       100        4.9          5          0          0
