# 
Bin Y_Min Y_Max Value Uncertainty
1 -5 -4.9 0 0
2 -4.9 -4.8 0 0
3 -4.8 -4.7 0 0
4 -4.7 -4.6 0 0
5 -4.6 -4.5 0 0
6 -4.5 -4.4 0 0
7 -4.4 -4.3 0 0
8 -4.3 -4.2 0 0
9 -4.2 -4.1 0 0
10 -4.1 -4 0 0
11 -4 -3.9 2.09269e-07 0.000457459
12 -3.9 -3.8 3.43122e-07 0.000585767
13 -3.8 -3.7 5.49821e-06 0.00234483
14 -3.7 -3.6 3.10383e-05 0.00557121
15 -3.6 -3.5 0.000113374 0.0106477
16 -3.5 -3.4 0.000254597 0.0159561
17 -3.4 -3.3 0.000428096 0.0206905
18 -3.3 -3.2 0.000608055 0.0246588
19 -3.2 -3.1 0.000770244 0.0277533
20 -3.1 -3 0.000935354 0.0305836
21 -3 -2.9 0.00111205 0.0333474
22 -2.9 -2.8 0.00129027 0.0359203
23 -2.8 -2.7 0.00136708 0.036974
24 -2.7 -2.6 0.00119622 0.0345863
25 -2.6 -2.5 0.000972623 0.0311869
26 -2.5 -2.4 0.000759925 0.0275667
27 -2.4 -2.3 0.000296793 0.0172277
28 -2.3 -2.2 0.000149539 0.0122286
29 -2.2 -2.1 0.000256408 0.0160127
30 -2.1 -2 0.000306162 0.0174975
31 -2 -1.9 0.000464482 0.0215518
32 -1.9 -1.8 0.000670271 0.0258896
33 -1.8 -1.7 0.000382844 0.0195664
34 -1.7 -1.6 0.000801533 0.0283114
35 -1.6 -1.5 0.000851085 0.0291734
36 -1.5 -1.4 0.00108809 0.0329862
37 -1.4 -1.3 0.000816225 0.0285697
38 -1.3 -1.2 0.000899618 0.0299936
39 -1.2 -1.1 0.000602922 0.0245545
40 -1.1 -1 0.000607127 0.0246399
41 -1 -0.9 0.00050086 0.0223799
42 -0.9 -0.8 0.000405859 0.0201459
43 -0.8 -0.7 0.000504175 0.0224538
44 -0.7 -0.6 0.00029385 0.0171421
45 -0.6 -0.5 0.000195592 0.0139854
46 -0.5 -0.4 0.000153772 0.0124005
47 -0.4 -0.3 0.000704218 0.0265371
48 -0.3 -0.2 0.000210334 0.0145029
49 -0.2 -0.1 0.000243517 0.015605
50 -0.1 0 0.000267973 0.0163699
51 0 0.1 0.000351535 0.0187493
52 0.1 0.2 0.000205028 0.0143188
53 0.2 0.3 0.000152194 0.0123367
54 0.3 0.4 0.000741957 0.0272389
55 0.4 0.5 0.000635257 0.0252043
56 0.5 0.6 0.000248396 0.0157606
57 0.6 0.7 0.000272546 0.016509
58 0.7 0.8 0.000541147 0.0232626
59 0.8 0.9 0.00120936 0.0347759
60 0.9 1 0.000516324 0.0227228
61 1 1.1 0.00100075 0.0316347
62 1.1 1.2 0.000380295 0.0195012
63 1.2 1.3 0.000825629 0.0287338
64 1.3 1.4 0.000897153 0.0299525
65 1.4 1.5 0.000388985 0.0197227
66 1.5 1.6 0.000352839 0.018784
67 1.6 1.7 0.000339679 0.0184304
68 1.7 1.8 0.000301309 0.0173582
69 1.8 1.9 0.000369501 0.0192224
70 1.9 2 0.00024317 0.0155939
71 2 2.1 0.000436966 0.0209037
72 2.1 2.2 0.000450807 0.0212322
73 2.2 2.3 0.000507816 0.0225348
74 2.3 2.4 0.000840184 0.0289859
75 2.4 2.5 0.000844252 0.029056
76 2.5 2.6 0.00108769 0.0329801
77 2.6 2.7 0.00130364 0.0361059
78 2.7 2.8 0.0014738 0.0383901
79 2.8 2.9 0.00138823 0.037259
80 2.9 3 0.00119822 0.0346152
81 3 3.1 0.00102728 0.0320512
82 3.1 3.2 0.000849412 0.0291447
83 3.2 3.3 0.000667739 0.0258406
84 3.3 3.4 0.000476551 0.02183
85 3.4 3.5 0.000279641 0.0167225
86 3.5 3.6 0.000116265 0.0107826
87 3.6 3.7 3.13547e-05 0.00559953
88 3.7 3.8 4.77521e-06 0.00218523
89 3.8 3.9 1.13361e-07 0.000336691
90 3.9 4 0 0
91 4 4.1 0 0
92 4.1 4.2 0 0
93 4.2 4.3 0 0
94 4.3 4.4 0 0
95 4.4 4.5 0 0
96 4.5 4.6 0 0
97 4.6 4.7 0 0
98 4.7 4.8 0 0
99 4.8 4.9 0 0
100 4.9 5 0 0
