# Energy Scale Error # Sat Jun 25 09:34:57 2011
#Bin Y_Min Y_Max Value Uncertainty
  16 -3.50 -3.40 0.0238 0.0170
  17 -3.40 -3.30 0.0276 0.0120
  18 -3.30 -3.20 0.0174 0.0089
  19 -3.20 -3.10 0.0053 0.0068
  20 -3.10 -3.00 0.0125 0.0059
  21 -3.00 -2.90 0.0052 0.0051
  22 -2.90 -2.80 0.0032 0.0045
  23 -2.80 -2.70 0.0064 0.0043
  24 -2.70 -2.60 0.0125 0.0046
  25 -2.60 -2.50 0.0131 0.0050
  26 -2.50 -2.40 0.0105 0.0049
  27 -2.40 -2.30 0.0133 0.0044
  28 -2.30 -2.20 0.0085 0.0039
  29 -2.20 -2.10 0.0042 0.0036
  30 -2.10 -2.00 0.0046 0.0035
  31 -2.00 -1.90 0.0023 0.0034
  32 -1.90 -1.80 0.0024 0.0033
  33 -1.80 -1.70 0.0038 0.0031
  34 -1.70 -1.60 0.0045 0.0030
  35 -1.60 -1.50 0.0063 0.0028
  36 -1.50 -1.40 0.0047 0.0027
  37 -1.40 -1.30 0.0047 0.0027
  38 -1.30 -1.20 0.0023 0.0026
  39 -1.20 -1.10 0.0026 0.0026
  40 -1.10 -1.00 0.0033 0.0026
  41 -1.00 -0.90 0.0016 0.0025
  42 -0.90 -0.80 0.0017 0.0025
  43 -0.80 -0.70 0.0014 0.0025
  44 -0.70 -0.60 0.0025 0.0025
  45 -0.60 -0.50 0.0019 0.0024
  46 -0.50 -0.40 0.0034 0.0024
  47 -0.40 -0.30 0.0040 0.0024
  48 -0.30 -0.20 0.0042 0.0024
  49 -0.20 -0.10 0.0031 0.0024
  50 -0.10  0.00 0.0044 0.0024
  51  0.00  0.10 0.0036 0.0024
  52  0.10  0.20 0.0043 0.0024
  53  0.20  0.30 0.0032 0.0024
  54  0.30  0.40 0.0031 0.0024
  55  0.40  0.50 0.0035 0.0024
  56  0.50  0.60 0.0036 0.0024
  57  0.60  0.70 0.0023 0.0024
  58  0.70  0.80 0.0033 0.0025
  59  0.80  0.90 0.0023 0.0025
  60  0.90  1.00 0.0042 0.0025
  61  1.00  1.10 0.0025 0.0025
  62  1.10  1.20 0.0048 0.0026
  63  1.20  1.30 0.0059 0.0026
  64  1.30  1.40 0.0038 0.0027
  65  1.40  1.50 0.0055 0.0027
  66  1.50  1.60 0.0058 0.0028
  67  1.60  1.70 0.0033 0.0029
  68  1.70  1.80 0.0019 0.0031
  69  1.80  1.90 0.0017 0.0033
  70  1.90  2.00 0.0048 0.0034
  71  2.00  2.10 0.0022 0.0034
  72  2.10  2.20 0.0024 0.0035
  73  2.20  2.30 0.0045 0.0038
  74  2.30  2.40 0.0043 0.0042
  75  2.40  2.50 0.0089 0.0048
  76  2.50  2.60 0.0084 0.0049
  77  2.60  2.70 0.0053 0.0045
  78  2.70  2.80 0.0046 0.0043
  79  2.80  2.90 0.0039 0.0045
  80  2.90  3.00 0.0061 0.0050
  81  3.00  3.10 0.0063 0.0058
  82  3.10  3.20 0.0098 0.0066
  83  3.20  3.30 0.0087 0.0084
  84  3.30  3.40 0.0140 0.0110
  85  3.40  3.50 0.0157 0.0157
