# Energy Scale Error # Sun Apr 24 20:41:11 2011
#Bin Y_Min Y_Max Value Uncertainty
   1  0.00  2.50 0.0304 0.0011
   2  2.50  5.00 0.0237 0.0007
   3  5.00  7.50 0.0104 0.0007
   4  7.50 10.00 0.0019 0.0007
   5 10.00 12.50 0.0039 0.0008
   6 12.50 15.00 0.0067 0.0009
   7 15.00 17.50 0.0091 0.0010
   8 17.50 20.00 0.0102 0.0012
   9 20.00 30.00 0.0143 0.0007
  10 30.00 40.00 0.0168 0.0010
  11 40.00 50.00 0.0222 0.0014
  12 50.00 70.00 0.0255 0.0014
  13 70.00 90.00 0.0373 0.0021
  14 90.00 110.00 0.0336 0.0031
  15 110.00 150.00 0.0373 0.0035
  16 150.00 190.00 0.0410 0.0061
  17 190.00 250.00 0.0435 0.0088
  18 250.00 600.00 0.0630 0.0132
  19 600.00 3500.00 0.1254 0.2483
