# Energy Scale Error # Wed Jan 26 21:06:22 2011
#Bin Y_Min Y_Max Value Uncertainty
   1  0.00  2.50 0.0349 0.0011
   2  2.50  5.00 0.0271 0.0007
   3  5.00  7.50 0.0111 0.0007
   4  7.50 10.00 0.0003 0.0008
   5 10.00 12.50 0.0045 0.0009
   6 12.50 15.00 0.0081 0.0010
   7 15.00 17.50 0.0098 0.0011
   8 17.50 20.00 0.0128 0.0012
   9 20.00 30.00 0.0162 0.0008
  10 30.00 40.00 0.0202 0.0011
  11 40.00 50.00 0.0250 0.0015
  12 50.00 70.00 0.0305 0.0015
  13 70.00 90.00 0.0389 0.0023
  14 90.00 110.00 0.0496 0.0034
  15 110.00 150.00 0.0448 0.0038
  16 150.00 190.00 0.0449 0.0067
  17 190.00 250.00 0.0494 0.0096
  18 250.00 600.00 0.0512 0.0141
  19 600.00 3500.00 0.4165 0.2437
