#put your comments after a '#' 
# Negative PDF errors
#Bin        YMin        YMax     Entries
1        -5.5       -5.25           0
2       -5.25          -5           0
3          -5       -4.75           0
4       -4.75        -4.5           0
5        -4.5       -4.25           0
6       -4.25          -4           0
7          -4       -3.75    -1.29896
8       -3.75        -3.5   -0.100562
9        -3.5       -3.25  -0.0307711
10       -3.25          -3  -0.0203872
11          -3       -2.75  -0.0151268
12       -2.75        -2.5  -0.0110441
13        -2.5       -2.25  -0.0167524
14       -2.25          -2 -0.00821278
15          -2       -1.75  -0.0119938
16       -1.75        -1.5  -0.0100217
17        -1.5       -1.25 -0.00655445
18       -1.25          -1 -0.00799887
19          -1       -0.75 -0.00732871
20       -0.75        -0.5 -0.00740146
21        -0.5       -0.25  -0.0058149
22       -0.25           0 -0.00404711
23           0        0.25 -0.00433817
24        0.25         0.5 -0.00701186
25         0.5        0.75 -0.00651614
26        0.75           1 -0.00777402
27           1        1.25 -0.00737634
28        1.25         1.5 -0.00640004
29         1.5        1.75  -0.0091535
30        1.75           2  -0.0093077
31           2        2.25  -0.0107422
32        2.25         2.5  -0.0150185
33         2.5        2.75  -0.0117793
34        2.75           3  -0.0101744
35           3        3.25  -0.0204434
36        3.25         3.5  -0.0361718
37         3.5        3.75   -0.113741
38        3.75           4   -0.785459
39           4        4.25           0
40        4.25         4.5           0
41         4.5        4.75           0
42        4.75           5           0
43           5        5.25           0
