#put your comments after a '#' 
# Positive PDF errors
#Bin        YMin        YMax     Entries
1        -5.5       -5.25           0
2       -5.25          -5           0
3          -5       -4.75           0
4       -4.75        -4.5           0
5        -4.5       -4.25           0
6       -4.25          -4           0
7          -4       -3.75    0.036441
8       -3.75        -3.5   0.0098817
9        -3.5       -3.25   0.0016697
10       -3.25          -3  0.00234643
11          -3       -2.75  0.00217221
12       -2.75        -2.5  0.00260714
13        -2.5       -2.25  0.00171502
14       -2.25          -2 0.000965298
15          -2       -1.75  0.00052615
16       -1.75        -1.5 0.000479424
17        -1.5       -1.25  0.00115521
18       -1.25          -1  0.00126772
19          -1       -0.75  0.00114181
20       -0.75        -0.5  0.00106497
21        -0.5       -0.25  0.00110751
22       -0.25           0  0.00119673
23           0        0.25  0.00123339
24        0.25         0.5   0.0010671
25         0.5        0.75  0.00109032
26        0.75           1  0.00121711
27           1        1.25  0.00138958
28        1.25         1.5  0.00115193
29         1.5        1.75 0.000616839
30        1.75           2 0.000499164
31           2        2.25  0.00107391
32        2.25         2.5  0.00181488
33         2.5        2.75  0.00272192
34        2.75           3  0.00220711
35           3        3.25  0.00189866
36        3.25         3.5  0.00187802
37         3.5        3.75  0.00931759
38        3.75           4   0.0367251
39           4        4.25    0.934137
40        4.25         4.5           0
41         4.5        4.75           0
42        4.75           5           0
43           5        5.25           0
