#put your comments after a '#' 
# PDF relativeSensitivity_cteq65_vector_15.txt
#Bin        XMin        XMax     Entries
1        -5.5       -5.25           0
2       -5.25          -5           0
3          -5       -4.75           0
4       -4.75        -4.5           0
5        -4.5       -4.25           0
6       -4.25          -4           0
7          -4       -3.75   0.0276091
8       -3.75        -3.5   0.0267477
9        -3.5       -3.25   0.0251853
10       -3.25          -3   0.0228695
11          -3       -2.75   0.0211152
12       -2.75        -2.5   0.0186834
13        -2.5       -2.25   0.0145921
14       -2.25          -2   0.0110874
15          -2       -1.75  0.00766422
16       -1.75        -1.5  0.00273116
17        -1.5       -1.25-0.000940735
18       -1.25          -1 -0.00461341
19          -1       -0.75 -0.00608478
20       -0.75        -0.5 -0.00765427
21        -0.5       -0.25 -0.00887174
22       -0.25           0 -0.00950088
23           0        0.25 -0.00947457
24        0.25         0.5   -0.008878
25         0.5        0.75 -0.00763287
26        0.75           1 -0.00603905
27           1        1.25 -0.00478034
28        1.25         1.5-0.000732572
29         1.5        1.75  0.00269793
30        1.75           2   0.0077651
31           2        2.25   0.0111254
32        2.25         2.5   0.0145776
33         2.5        2.75   0.0186148
34        2.75           3    0.020961
35           3        3.25   0.0229348
36        3.25         3.5   0.0250627
37         3.5        3.75     0.02714
38        3.75           4   0.0276037
39           4        4.25   0.0306556
40        4.25         4.5           0
41         4.5        4.75           0
42        4.75           5           0
43           5        5.25           0
