#put your comments after a '#'.
#Variable name: rap
#    RapBin     RapMin     RapMax      Value     Error
         25       -2.6       -2.5          0          0
         26       -2.5       -2.4      4.761      2.313
         27       -2.4       -2.3      52.31      7.255
         28       -2.3       -2.2      75.39      8.932
         29       -2.2       -2.1      92.85      10.09
         30       -2.1         -2      127.9      11.81
         31         -2       -1.9      154.1       12.9
         32       -1.9       -1.8      138.6      12.47
         33       -1.8       -1.7      197.6      14.57
         34       -1.7       -1.6      204.9      14.92
         35       -1.6       -1.5      222.9      15.68
         36       -1.5       -1.4      257.1      16.77
         37       -1.4       -1.3      268.5      17.54
         38       -1.3       -1.2      276.6      17.61
         39       -1.2       -1.1      301.7      18.35
         40       -1.1         -1      270.5      17.44
         41         -1       -0.9      283.3      17.63
         42       -0.9       -0.8      327.9      18.97
         43       -0.8       -0.7      293.4      17.99
         44       -0.7       -0.6      331.2      18.95
         45       -0.6       -0.5      368.2      20.04
         46       -0.5       -0.4      351.6      19.67
         47       -0.4       -0.3      350.7       19.9
         48       -0.3       -0.2      327.3      19.13
         49       -0.2       -0.1      353.9      19.89
         50       -0.1          0      355.9      19.94
         51          0        0.1        392      20.69
         52        0.1        0.2      328.9      19.28
         53        0.2        0.3      371.3      20.17
         54        0.3        0.4      351.4      19.86
         55        0.4        0.5      331.2       19.2
         56        0.5        0.6      320.7      18.82
         57        0.6        0.7      346.1      19.52
         58        0.7        0.8      337.9       19.4
         59        0.8        0.9      321.7      18.87
         60        0.9          1      329.3      18.82
         61          1        1.1      301.6      18.52
         62        1.1        1.2      317.1      18.47
         63        1.2        1.3      287.6      18.16
         64        1.3        1.4      248.2      16.55
         65        1.4        1.5      244.4      16.37
         66        1.5        1.6      261.7      16.84
         67        1.6        1.7      205.6      15.09
         68        1.7        1.8        191      14.73
         69        1.8        1.9        174      13.42
         70        1.9          2      138.8      12.37
         71          2        2.1      131.1      12.12
         72        2.1        2.2      106.2      10.62
         73        2.2        2.3      79.14      9.226
         74        2.3        2.4      43.16      6.572
         75        2.4        2.5  2.604e-09     0.0461
