#put your comments after a '#'.
#Variable name: hfrap
#    RapBin     RapMin     RapMax      Value     Error
         14       -3.7       -3.6      9.395  1.704e-05
         15       -3.6       -3.5  7.861e-09     0.6381
         16       -3.5       -3.4  9.041e-08      154.7
         17       -3.4       -3.3  2.704e-10     0.4289
         18       -3.3       -3.2  4.097e-08     0.1291
         19       -3.2       -3.1      39.09       6.75
         20       -3.1         -3  1.041e-07    0.03817
         21         -3       -2.9      61.42      8.473
         22       -2.9       -2.8         92      10.35
         23       -2.8       -2.7      99.65      11.02
         24       -2.7       -2.6      98.88      10.85
         25       -2.6       -2.5      74.64      10.11
         26       -2.5       -2.4       63.4      9.036
         27       -2.4       -2.3         59      9.527
         28       -2.3       -2.2      51.69      8.019
         29       -2.2       -2.1      39.68      7.121
         30       -2.1         -2  1.593e-09     0.2939
         31         -2       -1.9   2.65e-10    0.04793
         32       -1.9       -1.8      16.22      4.439
         33       -1.8       -1.7  2.911e-09     0.2729
         34       -1.7       -1.6  5.223e-09      38.69
         35       -1.6       -1.5  2.582e-08     0.4655
         36       -1.5       -1.4  7.529e-06     0.4185
         37       -1.4       -1.3  1.043e-08       2.59
         38       -1.3       -1.2          0          0
         65        1.4        1.5      2.062   0.009287
         66        1.5        1.6  1.002e-08     0.3244
         67        1.6        1.7  0.0003934      9.059
         68        1.7        1.8  7.953e-08     0.3411
         69        1.8        1.9      13.68      5.027
         70        1.9          2  7.896e-10     0.1387
         71          2        2.1  5.403e-07     0.1065
         72        2.1        2.2      46.06      7.971
         73        2.2        2.3      48.01      8.384
         74        2.3        2.4      44.79      7.858
         75        2.4        2.5      43.79      7.644
         76        2.5        2.6  1.595e-09    0.03961
         77        2.6        2.7      78.45      9.883
         78        2.7        2.8      112.8      11.49
         79        2.8        2.9      83.92      9.956
         80        2.9          3      56.67      8.109
         81          3        3.1      46.01      7.445
         82        3.1        3.2      38.74      6.959
         83        3.2        3.3  2.471e-07     0.1483
         84        3.3        3.4  2.678e-10      3.247
         85        3.4        3.5  1.911e-08       19.1
         86        3.5        3.6  2.957e-09      12.25
         87        3.6        3.7  0.0003098      5.797
