# Results from Fri Apr 17 10:54:20 2009
#Bin Y_min Y_max FractionalErrorStats SuperCluster ElectronId HLT GsfTrack Iso HFElectronId
  1 -5.50 -5.25 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 
  2 -5.25 -5.00 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 
  3 -5.00 -4.75 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 
  4 -4.75 -4.50 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 
  5 -4.50 -4.25 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 
  6 -4.25 -4.00 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 
  7 -4.00 -3.75 0.08048 0.00065 0.00037 0.00079 0.08047 0.00028 0.00102 
  8 -3.75 -3.50 0.02484 0.00275 0.00256 0.00880 0.00832 0.00149 0.02131 
  9 -3.50 -3.25 0.02143 0.00224 0.00223 0.00485 0.00743 0.00078 0.01923 
 10 -3.25 -3.00 0.01321 0.00167 0.00129 0.00362 0.00461 0.00023 0.01165 
 11 -3.00 -2.75 0.00773 0.00126 0.00100 0.00270 0.00329 0.00043 0.00624 
 12 -2.75 -2.50 0.00737 0.00116 0.00081 0.00192 0.00287 0.00038 0.00635 
 13 -2.50 -2.25 0.00666 0.00117 0.00084 0.00194 0.00284 0.00051 0.00550 
 14 -2.25 -2.00 0.00425 0.00101 0.00156 0.00158 0.00248 0.00019 0.00244 
 15 -2.00 -1.75 0.00395 0.00088 0.00112 0.00173 0.00296 0.00037 0.00129 
 16 -1.75 -1.50 0.00348 0.00039 0.00121 0.00129 0.00276 0.00064 0.00089 
 17 -1.50 -1.25 0.00324 0.00075 0.00077 0.00129 0.00262 0.00063 0.00063 
 18 -1.25 -1.00 0.00268 0.00017 0.00048 0.00099 0.00220 0.00021 0.00102 
 19 -1.00 -0.75 0.00234 0.00037 0.00085 0.00089 0.00162 0.00073 0.00081 
 20 -0.75 -0.50 0.00218 0.00047 0.00066 0.00088 0.00157 0.00092 0.00006 
 21 -0.50 -0.25 0.00220 0.00089 0.00080 0.00023 0.00155 0.00040 0.00090 
 22 -0.25  0.00 0.00233 0.00039 0.00102 0.00059 0.00173 0.00017 0.00092 
 23  0.00  0.25 0.00242 0.00081 0.00092 0.00072 0.00174 0.00040 0.00082 
 24  0.25  0.50 0.00191 0.00036 0.00068 0.00041 0.00144 0.00043 0.00079 
 25  0.50  0.75 0.00270 0.00081 0.00106 0.00096 0.00157 0.00070 0.00130 
 26  0.75  1.00 0.00237 0.00055 0.00041 0.00070 0.00187 0.00053 0.00095 
 27  1.00  1.25 0.00279 0.00035 0.00057 0.00071 0.00238 0.00067 0.00082 
 28  1.25  1.50 0.00303 0.00072 0.00076 0.00111 0.00243 0.00065 0.00076 
 29  1.50  1.75 0.00320 0.00100 0.00043 0.00141 0.00261 0.00047 0.00017 
 30  1.75  2.00 0.00400 0.00089 0.00121 0.00185 0.00295 0.00075 0.00103 
 31  2.00  2.25 0.00443 0.00056 0.00146 0.00192 0.00237 0.00034 0.00279 
 32  2.25  2.50 0.00695 0.00128 0.00113 0.00186 0.00259 0.00031 0.00593 
 33  2.50  2.75 0.00738 0.00104 0.00064 0.00226 0.00298 0.00047 0.00623 
 34  2.75  3.00 0.00813 0.00110 0.00137 0.00373 0.00355 0.00072 0.00600 
 35  3.00  3.25 0.01384 0.00134 0.00161 0.00468 0.00477 0.00035 0.01193 
 36  3.25  3.50 0.02433 0.00197 0.00281 0.00583 0.00695 0.00053 0.02231 
 37  3.50  3.75 0.02894 0.00195 0.00345 0.01257 0.00801 0.00111 0.02446 
 38  3.75  4.00 0.07630 0.07627 0.00040 0.00043 0.00162 0.00040 0.00093 
 39  4.00  4.25 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 
 40  4.25  4.50 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 
 41  4.50  4.75 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 
 42  4.75  5.00 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 
 43  5.00  5.25 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 
 44  5.25  5.50 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 
