# 
#       Bin     Y_Min     Y_Max     Value  Uncertainty
         1         -5       -4.9          0          0
         2       -4.9       -4.8          0          0
         3       -4.8       -4.7          0          0
         4       -4.7       -4.6          0          0
         5       -4.6       -4.5          0          0
         6       -4.5       -4.4          0          0
         7       -4.4       -4.3          0          0
         8       -4.3       -4.2          0          0
         9       -4.2       -4.1          0          0
        10       -4.1         -4          0          0
        11         -4       -3.9          0          0
        12       -3.9       -3.8    1.00001    1.00001
        13       -3.8       -3.7   0.294114   0.542323
        14       -3.7       -3.6  0.0838295   0.289533
        15       -3.6       -3.5  0.0222696    0.14923
        16       -3.5       -3.4 0.00570116   0.075506
        17       -3.4       -3.3  0.0115657   0.107544
        18       -3.3       -3.2  0.0163589   0.127902
        19       -3.2       -3.1  0.0098554  0.0992744
        20       -3.1         -3 0.00118169  0.0343757
        21         -3       -2.9 0.00254582  0.0504561
        22       -2.9       -2.8 0.00249746  0.0499746
        23       -2.8       -2.7  0.0027536  0.0524747
        24       -2.7       -2.6 0.00758584  0.0870967
        25       -2.6       -2.5  0.0107973    0.10391
        26       -2.5       -2.4 0.00408725  0.0639316
        27       -2.4       -2.3 0.00221578  0.0470721
        28       -2.3       -2.2  0.0025045   0.050045
        29       -2.2       -2.1 0.00183985  0.0428935
        30       -2.1         -2 0.00121389  0.0348409
        31         -2       -1.9 0.00264979  0.0514761
        32       -1.9       -1.8 0.000303429  0.0174192
        33       -1.8       -1.7 0.000190922  0.0138175
        34       -1.7       -1.6 0.000189444  0.0137639
        35       -1.6       -1.5 0.000325402  0.0180389
        36       -1.5       -1.4 0.000194311  0.0139396
        37       -1.4       -1.3 0.000444928  0.0210933
        38       -1.3       -1.2 0.000252296  0.0158838
        39       -1.2       -1.1 0.000315643  0.0177664
        40       -1.1         -1 0.000185531   0.013621
        41         -1       -0.9 0.00016164  0.0127138
        42       -0.9       -0.8 0.000308915   0.017576
        43       -0.8       -0.7 0.000223357  0.0149451
        44       -0.7       -0.6 0.000202283  0.0142226
        45       -0.6       -0.5 0.000264811   0.016273
        46       -0.5       -0.4 0.000331013  0.0181938
        47       -0.4       -0.3 0.000261402  0.0161679
        48       -0.3       -0.2 0.000310673  0.0176259
        49       -0.2       -0.1 0.000310476  0.0176203
        50       -0.1          0 0.000214889  0.0146591
        51          0        0.1 0.00020418  0.0142892
        52        0.1        0.2 0.000233517  0.0152813
        53        0.2        0.3 0.000151613  0.0123131
        54        0.3        0.4 0.000208599   0.014443
        55        0.4        0.5 0.000311067  0.0176371
        56        0.5        0.6 0.000253206  0.0159124
        57        0.6        0.7 0.000112629  0.0106127
        58        0.7        0.8 0.000193035  0.0138937
        59        0.8        0.9 0.000173555   0.013174
        60        0.9          1 5.32203e-05 0.00729523
        61          1        1.1 0.000707836  0.0266052
        62        1.1        1.2 0.00050409  0.0224519
        63        1.2        1.3 0.00032181  0.0179391
        64        1.3        1.4 0.000167892  0.0129573
        65        1.4        1.5 0.000314351    0.01773
        66        1.5        1.6 0.000757302  0.0275191
        67        1.6        1.7 0.000146342  0.0120972
        68        1.7        1.8 0.000401876  0.0200469
        69        1.8        1.9 0.000598024  0.0244545
        70        1.9          2 0.00110256  0.0332048
        71          2        2.1 0.00140493  0.0374824
        72        2.1        2.2 0.000319168  0.0178653
        73        2.2        2.3 0.000424191  0.0205959
        74        2.3        2.4 0.00314155  0.0560495
        75        2.4        2.5 0.00299636  0.0547391
        76        2.5        2.6 0.00271341  0.0520904
        77        2.6        2.7 0.00313626  0.0560023
        78        2.7        2.8  0.0012582  0.0354711
        79        2.8        2.9 0.00337503   0.058095
        80        2.9          3  0.0100606   0.100303
        81          3        3.1 0.00662609  0.0814008
        82        3.1        3.2 0.00467203  0.0683522
        83        3.2        3.3 0.00883194  0.0939784
        84        3.3        3.4  0.0157464   0.125485
        85        3.4        3.5  0.0138313   0.117607
        86        3.5        3.6 0.00967989  0.0983864
        87        3.6        3.7 0.00868292  0.0931822
        88        3.7        3.8   0.312507   0.559023
        89        3.8        3.9          0          0
        90        3.9          4          0          0
        91          4        4.1          0          0
        92        4.1        4.2          0          0
        93        4.2        4.3          0          0
        94        4.3        4.4          0          0
        95        4.4        4.5          0          0
        96        4.5        4.6          0          0
        97        4.6        4.7          0          0
        98        4.7        4.8          0          0
        99        4.8        4.9          0          0
       100        4.9          5          0          0
