# 
#       Bin     Y_Min     Y_Max     Value  Uncertainty
         1         -5       -4.9          0          0
         2       -4.9       -4.8          0          0
         3       -4.8       -4.7          0          0
         4       -4.7       -4.6          0          0
         5       -4.6       -4.5          0          0
         6       -4.5       -4.4          0          0
         7       -4.4       -4.3          0          0
         8       -4.3       -4.2          0          0
         9       -4.2       -4.1          0          0
        10       -4.1         -4          0          0
        11         -4       -3.9          0          0
        12       -3.9       -3.8   0.499922   0.707052
        13       -3.8       -3.7   0.150603   0.388076
        14       -3.7       -3.6  0.0446405   0.211283
        15       -3.6       -3.5  0.0260391   0.161366
        16       -3.5       -3.4  0.0476295   0.218242
        17       -3.4       -3.3   0.021314   0.145993
        18       -3.3       -3.2 0.00268867  0.0518524
        19       -3.2       -3.1 0.00735669  0.0857711
        20       -3.1         -3 0.00989436  0.0994704
        21         -3       -2.9 0.00380563  0.0616898
        22       -2.9       -2.8 0.00738481  0.0859349
        23       -2.8       -2.7 0.00181884  0.0426479
        24       -2.7       -2.6 0.000951665  0.0308491
        25       -2.6       -2.5 0.00909939  0.0953907
        26       -2.5       -2.4 0.00214259  0.0462881
        27       -2.4       -2.3 0.00218161  0.0467078
        28       -2.3       -2.2  0.0031357  0.0559973
        29       -2.2       -2.1 0.000428228  0.0206937
        30       -2.1         -2 0.00114807  0.0338832
        31         -2       -1.9 0.00102508  0.0320168
        32       -1.9       -1.8 0.00040904  0.0202247
        33       -1.8       -1.7 0.000565524  0.0237808
        34       -1.7       -1.6 0.000335634  0.0183203
        35       -1.6       -1.5 0.000207459  0.0144034
        36       -1.5       -1.4 0.000170284  0.0130493
        37       -1.4       -1.3 0.000269475  0.0164157
        38       -1.3       -1.2 0.000644422  0.0253855
        39       -1.2       -1.1 0.00028137  0.0167741
        40       -1.1         -1 0.000241997  0.0155562
        41         -1       -0.9 0.000474192   0.021776
        42       -0.9       -0.8 0.000465404  0.0215732
        43       -0.8       -0.7 0.000301801  0.0173724
        44       -0.7       -0.6 7.26585e-05 0.00852399
        45       -0.6       -0.5 0.000468891  0.0216539
        46       -0.5       -0.4 0.000594042   0.024373
        47       -0.4       -0.3 0.00022851  0.0151165
        48       -0.3       -0.2 0.00025879  0.0160869
        49       -0.2       -0.1 3.46286e-05 0.00588461
        50       -0.1          0 0.000211326   0.014537
        51          0        0.1 0.000323713   0.017992
        52        0.1        0.2 0.000313529  0.0177067
        53        0.2        0.3 0.000208891  0.0144531
        54        0.3        0.4   0.000196      0.014
        55        0.4        0.5 0.000170247  0.0130479
        56        0.5        0.6 0.000211498   0.014543
        57        0.6        0.7 0.000346156  0.0186053
        58        0.7        0.8 0.000171664   0.013102
        59        0.8        0.9 0.000245451  0.0156669
        60        0.9          1 0.000137238  0.0117149
        61          1        1.1 0.00015126  0.0122988
        62        1.1        1.2 0.000395966  0.0198989
        63        1.2        1.3 0.000187302  0.0136858
        64        1.3        1.4 0.00034328  0.0185278
        65        1.4        1.5 0.000263532  0.0162337
        66        1.5        1.6 0.000567373  0.0238196
        67        1.6        1.7 0.000601366  0.0245228
        68        1.7        1.8 0.000431226   0.020766
        69        1.8        1.9 0.000672238  0.0259276
        70        1.9          2 0.000950043  0.0308228
        71          2        2.1 0.000375215  0.0193705
        72        2.1        2.2 0.000328496  0.0181245
        73        2.2        2.3 7.72088e-05 0.00878685
        74        2.3        2.4 0.00436196  0.0660451
        75        2.4        2.5 0.000584891  0.0241845
        76        2.5        2.6  0.0121773   0.110351
        77        2.6        2.7  0.0107434    0.10365
        78        2.7        2.8 0.00922575  0.0960508
        79        2.8        2.9 0.00516183  0.0718459
        80        2.9          3 0.00408947   0.063949
        81          3        3.1 0.00939715  0.0969389
        82        3.1        3.2  0.0153646   0.123954
        83        3.2        3.3    0.02371   0.153981
        84        3.3        3.4 0.00334466   0.057833
        85        3.4        3.5 0.00133716  0.0365673
        86        3.5        3.6  0.0214102   0.146322
        87        3.6        3.7  0.0433296   0.208158
        88        3.7        3.8    1.00031    1.00016
        89        3.8        3.9          0          0
        90        3.9          4          0          0
        91          4        4.1          0          0
        92        4.1        4.2          0          0
        93        4.2        4.3          0          0
        94        4.3        4.4          0          0
        95        4.4        4.5          0          0
        96        4.5        4.6          0          0
        97        4.6        4.7          0          0
        98        4.7        4.8          0          0
        99        4.8        4.9          0          0
       100        4.9          5          0          0
