# 
#       Bin     Y_Min     Y_Max     Value  Uncertainty
         1        0.7        2.5 0.000814229 0.00314295
         2        2.5          5 0.000134156 0.00205068
         3          5        7.5 0.000243344 0.00195608
         4        7.5         10 0.000361617 0.00211344
         5         10       12.5 0.00022723 0.00236426
         6       12.5         15 0.000213266 0.00265819
         7         15       17.5 0.000449939 0.00297796
         8       17.5         20 0.000540744 0.00330334
         9         20         30 0.00015593 0.00208165
        10         30         40 0.000478685 0.00291185
        11         40         50 0.000639818 0.00384867
        12         50         70 0.000514891 0.00383465
        13         70         90 0.000684157 0.00592169
        14         90        110 0.000640253 0.00865591
        15        110        150 0.00140785 0.00962417
        16        150        190 0.00286452  0.0165794
        17        190        250 0.00342329  0.0238042
        18        250        600 0.00576612   0.035052
        19        600       3500 0.000944789   0.534138
