#
#      Bin     Y_min     Y_max           Value     Uncertainty
         1       0.0       2.5  0.043048087180  0.000062620981
         2       2.5       5.0  0.074273827927  0.000082254722
         3       5.0       7.5  0.058247166774  0.000072841745
         4       7.5      10.0  0.042520839843  0.000062236313
         5      10.0      12.5  0.031907664307  0.000053912621
         6      12.5      15.0  0.024701920335  0.000047436026
         7      15.0      17.5  0.019425438864  0.000042065723
         8      17.5      20.0  0.015599160850  0.000037695851
         9      20.0      30.0  0.009746036763  0.000014897965
        10      30.0      40.0  0.004965033882  0.000010633446
        11      40.0      50.0  0.002823342081  0.000008018529
        12      50.0      70.0  0.001385868897  0.000003972455
        13      70.0      90.0  0.000582427032  0.000002575246
        14      90.0     110.0  0.000265103933  0.000001737425
        15     110.0     150.0  0.000096883292  0.000000742690
        16     150.0     190.0  0.000028489393  0.000000402740
        17     190.0     250.0  0.000007837809  0.000000172478
        18     250.0     600.0  0.000000547210  0.000000018869
        19     600.0    3500.0  0.000000000314  0.000000000157
