#
#      Bin     Y_min     Y_max           Value     Uncertainty
         1       0.0       2.5  0.027961252367  0.000063893786
         2       2.5       5.0  0.056785964185  0.000091054375
         3       5.0       7.5  0.053212404236  0.000088142782
         4       7.5      10.0  0.042772049406  0.000079024243
         5      10.0      12.5  0.033926773120  0.000070380377
         6      12.5      15.0  0.027371693816  0.000063216602
         7      15.0      17.5  0.022450091744  0.000057251830
         8      17.5      20.0  0.018482178739  0.000051946572
         9      20.0      30.0  0.012093797919  0.000021010272
        10      30.0      40.0  0.006449811419  0.000015343478
        11      40.0      50.0  0.003788037787  0.000011758650
        12      50.0      70.0  0.001898636226  0.000005886487
        13      70.0      90.0  0.000808744972  0.000003841856
        14      90.0     110.0  0.000366557810  0.000002586465
        15     110.0     150.0  0.000134085149  0.000001106141
        16     150.0     190.0  0.000038334811  0.000000591449
        17     190.0     250.0  0.000010737275  0.000000255577
        18     250.0     600.0  0.000000732099  0.000000027631
        19     600.0    3500.0  0.000000000503  0.000000000252
