#
#      Bin     Y_min     Y_max           Value     Uncertainty
         1       0.0       2.5    4.552986e-02    9.818536e-05
         2       2.5       5.0    6.909473e-02    1.209542e-04
         3       5.0       7.5    5.213902e-02    1.050703e-04
         4       7.5      10.0    4.039946e-02    9.248822e-05
         5      10.0      12.5    3.215124e-02    8.250827e-05
         6      12.5      15.0    2.596216e-02    7.414281e-05
         7      15.0      17.5    2.079260e-02    6.635184e-05
         8      17.5      20.0    1.686720e-02    5.976131e-05
         9      20.0      30.0    1.052540e-02    2.360413e-05
        10      30.0      40.0    5.283532e-03    1.672364e-05
        11      40.0      50.0    2.965750e-03    1.252956e-05
        12      50.0      70.0    1.456011e-03    6.207775e-06
        13      70.0      90.0    6.275627e-04    4.075512e-06
        14      90.0     110.0    2.968556e-04    2.803020e-06
        15     110.0     150.0    1.179906e-04    1.249575e-06
        16     150.0     190.0    3.880085e-05    7.165710e-07
        17     190.0     250.0    1.206902e-05    3.263090e-07
        18     250.0     600.0    8.711475e-07    3.629781e-08
        19     600.0    3500.0    1.095193e-09    4.471105e-10
