#
#      Bin     Y_min     Y_max           Value     Uncertainty
         1       0.0       2.5  0.029221386091  0.000101564217
         2       2.5       5.0  0.053860063594  0.000137887135
         3       5.0       7.5  0.048398726006  0.000130709539
         4       7.5      10.0  0.039935435418  0.000118732478
         5      10.0      12.5  0.032939585872  0.000107832428
         6      12.5      15.0  0.027633217401  0.000098765677
         7      15.0      17.5  0.022898716739  0.000089907494
         8      17.5      20.0  0.019025194837  0.000081951117
         9      20.0      30.0  0.012727412325  0.000033514318
        10      30.0      40.0  0.006897802457  0.000024672644
        11      40.0      50.0  0.004044993995  0.000018893798
        12      50.0      70.0  0.002059077122  0.000009531947
        13      70.0      90.0  0.000901441936  0.000006306875
        14      90.0     110.0  0.000433445795  0.000004373335
        15     110.0     150.0  0.000171450029  0.000001944908
        16     150.0     190.0  0.000057738351  0.000001128658
        17     190.0     250.0  0.000017253111  0.000000503754
        18     250.0     600.0  0.000001230474  0.000000055701
        19     600.0    3500.0  0.000000001522  0.000000000680
