#
#      Bin     Y_min     Y_max           Value     Uncertainty
         1       0.0       2.5  0.052005030696  0.000105288443
         2       2.5       5.0  0.075614768076  0.000126958370
         3       5.0       7.5  0.053653862551  0.000106944517
         4       7.5      10.0  0.040175861187  0.000092542371
         5      10.0      12.5  0.031344858458  0.000081741233
         6      12.5      15.0  0.024608628922  0.000072427206
         7      15.0      17.5  0.019557682469  0.000064567909
         8      17.5      20.0  0.015549326398  0.000057572331
         9      20.0      30.0  0.009512651347  0.000022515356
        10      30.0      40.0  0.004753954212  0.000015916791
        11      40.0      50.0  0.002635786153  0.000011851767
        12      50.0      70.0  0.001319864853  0.000005930315
        13      70.0      90.0  0.000570509678  0.000003898922
        14      90.0     110.0  0.000271092684  0.000002687645
        15     110.0     150.0  0.000104997122  0.000001182733
        16     150.0     190.0  0.000033360334  0.000000666674
        17     190.0     250.0  0.000010542789  0.000000306006
        18     250.0     600.0  0.000000867886  0.000000036352
        19     600.0    3500.0  0.000000000368  0.000000000260
