#
#      Bin     Y_min     Y_max           Value     Uncertainty
         1       0.0       2.5  0.033795516071  0.000109501420
         2       2.5       5.0  0.060087067280  0.000146009366
         3       5.0       7.5  0.051102178101  0.000134651103
         4       7.5      10.0  0.040662619611  0.000120112412
         5      10.0      12.5  0.032590269327  0.000107531124
         6      12.5      15.0  0.026736821938  0.000097396893
         7      15.0      17.5  0.021889225158  0.000088126273
         8      17.5      20.0  0.018056703719  0.000080040436
         9      20.0      30.0  0.011810318218  0.000032366148
        10      30.0      40.0  0.006246385502  0.000023538274
        11      40.0      50.0  0.003619288205  0.000017917268
        12      50.0      70.0  0.001863972454  0.000009092116
        13      70.0      90.0  0.000824283043  0.000006046212
        14      90.0     110.0  0.000389877985  0.000004158240
        15     110.0     150.0  0.000153117250  0.000001842648
        16     150.0     190.0  0.000047409802  0.000001025331
        17     190.0     250.0  0.000015404120  0.000000477203
        18     250.0     600.0  0.000001229120  0.000000055811
        19     600.0    3500.0  0.000000000306  0.000000000306
