#
#      Bin     Y_min     Y_max           Value     Uncertainty
         1       0.0       2.5  0.039390378400  0.000060401762
         2       2.5       5.0  0.070979482383  0.000081081346
         3       5.0       7.5  0.058378870020  0.000073533015
         4       7.5      10.0  0.043404198367  0.000063404547
         5      10.0      12.5  0.032764926497  0.000055088270
         6      12.5      15.0  0.025385262484  0.000048489238
         7      15.0      17.5  0.020057800082  0.000043101877
         8      17.5      20.0  0.015997391795  0.000038492766
         9      20.0      30.0  0.010050874353  0.000015255500
        10      30.0      40.0  0.005137149577  0.000010906506
        11      40.0      50.0  0.002938051196  0.000008248106
        12      50.0      70.0  0.001448243780  0.000004094778
        13      70.0      90.0  0.000608646764  0.000002654558
        14      90.0     110.0  0.000278094297  0.000001794343
        15     110.0     150.0  0.000104105908  0.000000776305
        16     150.0     190.0  0.000031022218  0.000000423771
        17     190.0     250.0  0.000008918622  0.000000185523
        18     250.0     600.0  0.000000578881  0.000000019570
        19     600.0    3500.0  0.000000000319  0.000000000160
