#
#      Bin     Y_min     Y_max           Value     Uncertainty
         1       0.0       2.5    2.635562e-02    6.249093e-05
         2       2.5       5.0    5.420864e-02    8.962200e-05
         3       5.0       7.5    5.206536e-02    8.783241e-05
         4       7.5      10.0    4.268338e-02    7.952611e-05
         5      10.0      12.5    3.440185e-02    7.139557e-05
         6      12.5      15.0    2.781613e-02    6.419907e-05
         7      15.0      17.5    2.278086e-02    5.809857e-05
         8      17.5      20.0    1.883984e-02    5.283466e-05
         9      20.0      30.0    1.236991e-02    2.140591e-05
        10      30.0      40.0    6.659248e-03    1.570591e-05
        11      40.0      50.0    3.923138e-03    1.205500e-05
        12      50.0      70.0    1.981091e-03    6.057418e-06
        13      70.0      90.0    8.411805e-04    3.947117e-06
        14      90.0     110.0    3.852239e-04    2.671111e-06
        15     110.0     150.0    1.435676e-04    1.153051e-06
        16     150.0     190.0    4.281191e-05    6.296551e-07
        17     190.0     250.0    1.211908e-05    2.735329e-07
        18     250.0     600.0    7.567261e-07    2.829995e-08
        19     600.0    3500.0    2.554658e-10    1.806416e-10
