#
#      Bin     Y_min     Y_max           Value     Uncertainty
         1       0.0       2.5  0.042327208618  0.000041971827
         2       2.5       5.0  0.073868201258  0.000055446842
         3       5.0       7.5  0.058899024607  0.000049511047
         4       7.5      10.0  0.043329987131  0.000042466096
         5      10.0      12.5  0.032450044200  0.000036749861
         6      12.5      15.0  0.024897699444  0.000032190496
         7      15.0      17.5  0.019505153318  0.000028491987
         8      17.5      20.0  0.015573823710  0.000025459255
         9      20.0      30.0  0.009661055535  0.000010026061
        10      30.0      40.0  0.004850838049  0.000007104384
        11      40.0      50.0  0.002729526987  0.000005329197
        12      50.0      70.0  0.001350212301  0.000002650355
        13      70.0      90.0  0.000577277082  0.000001732987
        14      90.0     110.0  0.000269787541  0.000001184715
        15     110.0     150.0  0.000107339108  0.000000528405
        16     150.0     190.0  0.000033516646  0.000000295269
        17     190.0     250.0  0.000010174216  0.000000132829
        18     250.0     600.0  0.000000758960  0.000000015021
        19     600.0    3500.0  0.000000000718  0.000000000160
