#
#      Bin     Y_min     Y_max           Value     Uncertainty
         1       0.0       2.5    2.633079e-02    4.277930e-05
         2       2.5       5.0    5.494760e-02    6.179823e-05
         3       5.0       7.5    5.300909e-02    6.069835e-05
         4       7.5      10.0    4.349017e-02    5.497905e-05
         5      10.0      12.5    3.475969e-02    4.915183e-05
         6      12.5      15.0    2.784380e-02    4.399121e-05
         7      15.0      17.5    2.270662e-02    3.972629e-05
         8      17.5      20.0    1.868115e-02    3.603326e-05
         9      20.0      30.0    1.213022e-02    1.451797e-05
        10      30.0      40.0    6.430937e-03    1.057082e-05
        11      40.0      50.0    3.758565e-03    8.081328e-06
        12      50.0      70.0    1.916640e-03    4.080628e-06
        13      70.0      90.0    8.339923e-04    2.691769e-06
        14      90.0     110.0    3.952634e-04    1.853105e-06
        15     110.0     150.0    1.562253e-04    8.237917e-07
        16     150.0     190.0    4.884756e-05    4.606416e-07
        17     190.0     250.0    1.455798e-05    2.053273e-07
        18     250.0     600.0    1.095168e-06    2.331729e-08
        19     600.0    3500.0    1.018578e-09    2.470415e-10
