#put your comments after a '#'.
#Z def name: Tight-ECAL-HF
#Bin       YMin       YMax    Entries
1       -5.5      -5.25          0
2      -5.25         -5          0
3         -5      -4.75          0
4      -4.75       -4.5          0
5       -4.5      -4.25          0
6      -4.25         -4          0
7         -4      -3.75          0
8      -3.75       -3.5         15
9       -3.5      -3.25        203
10      -3.25         -3        614
11         -3      -2.75       1069
12      -2.75       -2.5        969
13       -2.5      -2.25        590
14      -2.25         -2        317
15         -2      -1.75         88
16      -1.75       -1.5         13
17       -1.5      -1.25          0
18      -1.25         -1          0
19         -1      -0.75          0
20      -0.75       -0.5          0
21       -0.5      -0.25          0
22      -0.25          0          0
23          0       0.25          0
24       0.25        0.5          0
25        0.5       0.75          0
26       0.75          1          0
27          1       1.25          0
28       1.25        1.5          0
29        1.5       1.75         10
30       1.75          2        108
31          2       2.25        314
32       2.25        2.5        526
33        2.5       2.75        995
34       2.75          3       1052
35          3       3.25        647
36       3.25        3.5        194
37        3.5       3.75         22
38       3.75          4          0
39          4       4.25          0
40       4.25        4.5          0
41        4.5       4.75          0
42       4.75          5          0
43          5       5.25          0
44       5.25        5.5          0
