#efficiency name: WP80
#dimension: 1
#XMin XMax EtaMin  EtaMax  PUMin PUMax NumParms eff       systp     systm     den     phistar
20    25   -1.4442 1.4442  0     5     5        0.546384  0.546774  0.545994  500.149 0       
25    30   -1.4442 1.4442  0     5     5        0.630986  0.631982  0.62999   1051.58 0       
30    35   -1.4442 1.4442  0     5     5        0.68991   0.689961  0.689859  1731.76 0       
35    40   -1.4442 1.4442  0     5     5        0.715597  0.715949  0.715244  2734.43 0       
40    45   -1.4442 1.4442  0     5     5        0.782941  0.782972  0.78291   3601.21 0       
45    50   -1.4442 1.4442  0     5     5        0.802125  0.802337  0.801912  2223.48 0       
50    55   -1.4442 1.4442  0     5     5        0.782079  0.783333  0.780825  901.924 0       
55    60   -1.4442 1.4442  0     5     5        0.865688  0.867717  0.863658  374.888 0       
60    500  -1.4442 1.4442  0     5     5        0.824342  0.825931  0.822752  701.023 0       
20    25   -1.4442 1.4442  5     102   5        0.577772  0.578068  0.577477  650.399 0       
25    30   -1.4442 1.4442  5     102   5        0.649323  0.64956   0.649086  1293.82 0       
30    35   -1.4442 1.4442  5     102   5        0.714828  0.714928  0.714727  2268.73 0       
35    40   -1.4442 1.4442  5     102   5        0.736323  0.736802  0.735844  3366.47 0       
40    45   -1.4442 1.4442  5     102   5        0.791521  0.791721  0.79132   4444.35 0       
45    50   -1.4442 1.4442  5     102   5        0.816911  0.81713   0.816692  2761.65 0       
50    55   -1.4442 1.4442  5     102   5        0.827378  0.827384  0.827373  1037.69 0       
55    60   -1.4442 1.4442  5     102   5        0.822085  0.824839  0.819332  547.031 0       
60    500  -1.4442 1.4442  5     102   5        0.810378  0.810783  0.809974  830.728 0       
20    25   1.566   2.5     0     5     5        0.612026  0.613805  0.610248  264.555 0       
25    30   1.566   2.5     0     5     5        0.62146   0.622621  0.620299  397.328 0       
30    35   1.566   2.5     0     5     5        0.668686  0.669589  0.667782  518.888 0       
35    40   1.566   2.5     0     5     5        0.682637  0.684601  0.680673  479.244 0       
40    45   1.566   2.5     0     5     5        0.694054  0.694484  0.693625  327.822 0       
45    50   1.566   2.5     0     5     5        0.714131  0.720779  0.707482  157     0       
50    55   1.566   2.5     0     5     5        0.744154  0.748868  0.739441  65      0       
55    60   1.566   2.5     0     5     5        0.602566  0.606483  0.598648  39.8056 0       
60    500  1.566   2.5     0     5     5        0.786346  0.787866  0.784826  55.1288 0       
20    25   1.566   2.5     5     102   5        0.541481  0.54163   0.541333  377     0       
25    30   1.566   2.5     5     102   5        0.662096  0.663091  0.661101  489.173 0       
30    35   1.566   2.5     5     102   5        0.675983  0.676048  0.675918  574.428 0       
35    40   1.566   2.5     5     102   5        0.700981  0.701497  0.700466  570.427 0       
40    45   1.566   2.5     5     102   5        0.772312  0.774646  0.769977  417.073 0       
45    50   1.566   2.5     5     102   5        0.694236  0.695056  0.693415  181     0       
50    55   1.566   2.5     5     102   5        0.689683  0.701479  0.677887  82.2074 0       
55    60   1.566   2.5     5     102   5        0.797611  0.803126  0.792096  38.2394 0       
60    500  1.566   2.5     5     102   5        0.802566  0.815389  0.789742  72.8131 0       
20    25   -2.5    -1.566  0     5     5        0.586661  0.586743  0.586578  255.709 0       
25    30   -2.5    -1.566  0     5     5        0.594309  0.595562  0.593057  388.045 0       
30    35   -2.5    -1.566  0     5     5        0.6231    0.624129  0.622071  459.967 0       
35    40   -2.5    -1.566  0     5     5        0.698744  0.699445  0.698043  432.743 0       
40    45   -2.5    -1.566  0     5     5        0.74014   0.740315  0.739965  322.07  0       
45    50   -2.5    -1.566  0     5     5        0.718381  0.72      0.716761  149     0       
50    55   -2.5    -1.566  0     5     5        0.72642   0.729711  0.723129  69.4145 0       
55    60   -2.5    -1.566  0     5     5        0.847852  0.860362  0.835341  23.0427 0       
60    500  -2.5    -1.566  0     5     5        0.638422  0.654359  0.622486  53.5136 0       
20    25   -2.5    -1.566  5     102   5        0.563803  0.563955  0.563651  346.449 0       
25    30   -2.5    -1.566  5     102   5        0.617044  0.617308  0.616779  513.026 0       
30    35   -2.5    -1.566  5     102   5        0.62091   0.621014  0.620806  578.19  0       
35    40   -2.5    -1.566  5     102   5        0.674547  0.675064  0.67403   578.682 0       
40    45   -2.5    -1.566  5     102   5        0.729018  0.730571  0.727466  423.408 0       
45    50   -2.5    -1.566  5     102   5        0.767573  0.767982  0.767163  182.531 0       
50    55   -2.5    -1.566  5     102   5        0.74837   0.754492  0.742247  86.6442 0       
55    60   -2.5    -1.566  5     102   5        0.765991  0.766511  0.765472  47.9248 0       
60    500  -2.5    -1.566  5     102   5        0.785529  0.791617  0.779441  79.8897 0       
# Output directory:  /export/scratch/tmp/gsf_gsf_mc_run_as_data_XPXPYT
