#efficiency name: WP80
#dimension: 1
#XMin  XMax  EtaMin   EtaMax  PUMin  PUMax  NumParms  eff       systp     systm     den    phistar
20     25    -1.4442  1.4442  0      5      5         0.527704  0.527726  0.527682  6705   0
25     30    -1.4442  1.4442  0      5      5         0.618664  0.618678  0.618651  14050  0
30     35    -1.4442  1.4442  0      5      5         0.683566  0.683574  0.683559  23667  0
35     40    -1.4442  1.4442  0      5      5         0.736462  0.736497  0.736428  35709  0
40     45    -1.4442  1.4442  0      5      5         0.786106  0.786128  0.786085  46522  0
45     50    -1.4442  1.4442  0      5      5         0.8175    0.817566  0.817434  31124  0
50     55    -1.4442  1.4442  0      5      5         0.817363  0.817461  0.817265  12002  0
55     60    -1.4442  1.4442  0      5      5         0.835072  0.835534  0.83461   5538   0
60     500   -1.4442  1.4442  0      5      5         0.849931  0.851014  0.848848  9289   0
20     25    -1.4442  1.4442  5      102    5         0.591886  0.591888  0.591884  8686   0
25     30    -1.4442  1.4442  5      102    5         0.650841  0.650859  0.650822  17841  0
30     35    -1.4442  1.4442  5      102    5         0.708919  0.708949  0.708889  30898  0
35     40    -1.4442  1.4442  5      102    5         0.750966  0.751027  0.750904  45842  0
40     45    -1.4442  1.4442  5      102    5         0.792716  0.79273   0.792703  60060  0
45     50    -1.4442  1.4442  5      102    5         0.810343  0.810379  0.810308  41739  0
50     55    -1.4442  1.4442  5      102    5         0.8181    0.818108  0.818093  16189  0
55     60    -1.4442  1.4442  5      102    5         0.824611  0.824965  0.824256  7633   0
60     500   -1.4442  1.4442  5      102    5         0.842924  0.844425  0.841422  12629  0
20     25    1.566    2.5     0      5      5         0.548218  0.54834   0.548096  3414   0
25     30    1.566    2.5     0      5      5         0.595126  0.595205  0.595047  5061   0
30     35    1.566    2.5     0      5      5         0.654385  0.654498  0.654271  6218   0
35     40    1.566    2.5     0      5      5         0.68091   0.680939  0.680881  6545   0
40     45    1.566    2.5     0      5      5         0.717973  0.717987  0.717959  5205   0
45     50    1.566    2.5     0      5      5         0.742789  0.74314   0.742437  2255   0
50     55    1.566    2.5     0      5      5         0.738814  0.738955  0.738672  981    0
55     60    1.566    2.5     0      5      5         0.748374  0.748496  0.748252  462    0
60     500   1.566    2.5     0      5      5         0.74789   0.748596  0.747185  764    0
20     25    1.566    2.5     5      102    5         0.513509  0.5136    0.513417  4492   0
25     30    1.566    2.5     5      102    5         0.588923  0.58913   0.588716  6469   0
30     35    1.566    2.5     5      102    5         0.646196  0.646212  0.646181  7944   0
35     40    1.566    2.5     5      102    5         0.667374  0.667393  0.667356  8736   0
40     45    1.566    2.5     5      102    5         0.70159   0.701699  0.701482  6911   0
45     50    1.566    2.5     5      102    5         0.723548  0.724401  0.722694  3331   0
50     55    1.566    2.5     5      102    5         0.726851  0.727227  0.726475  1295   0
55     60    1.566    2.5     5      102    5         0.753752  0.754502  0.753002  626    0
60     500   1.566    2.5     5      102    5         0.754396  0.755274  0.753518  1022   0
20     25    -2.5     -1.566  0      5      5         0.539795  0.540041  0.53955   3473   0
25     30    -2.5     -1.566  0      5      5         0.579993  0.58      0.579986  4914   0
30     35    -2.5     -1.566  0      5      5         0.632048  0.632196  0.6319    6252   0
35     40    -2.5     -1.566  0      5      5         0.676379  0.676448  0.676311  6509   0
40     45    -2.5     -1.566  0      5      5         0.716958  0.716985  0.716931  5053   0
45     50    -2.5     -1.566  0      5      5         0.724342  0.724979  0.723706  2431   0
50     55    -2.5     -1.566  0      5      5         0.746165  0.747578  0.744751  933    0
55     60    -2.5     -1.566  0      5      5         0.755346  0.755418  0.755274  500    0
60     500   -2.5     -1.566  0      5      5         0.798437  0.799397  0.797476  716    0
20     25    -2.5     -1.566  5      102    5         0.520473  0.520665  0.520281  4575   0
25     30    -2.5     -1.566  5      102    5         0.582041  0.582083  0.581998  6566   0
30     35    -2.5     -1.566  5      102    5         0.629525  0.62969   0.629361  8049   0
35     40    -2.5     -1.566  5      102    5         0.660492  0.660542  0.660441  8523   0
40     45    -2.5     -1.566  5      102    5         0.700239  0.700346  0.700133  6814   0
45     50    -2.5     -1.566  5      102    5         0.735164  0.735188  0.73514   3281   0
50     55    -2.5     -1.566  5      102    5         0.72848   0.729279  0.727682  1375   0
55     60    -2.5     -1.566  5      102    5         0.72624   0.72788   0.724601  642    0
60     500   -2.5     -1.566  5      102    5         0.756948  0.760084  0.753813  984    0
# Output directory:  /export/scratch/tmp/gsf_gsf_mc_run_as_data_25mmuw
