#efficiency name: WP80
#dimension: 1
#XMin  XMax  EtaMin   EtaMax  PUMin  PUMax  NumParms  eff       systp     systm     den    phistar
20     25    -1.4442  1.4442  0      5      5         0.567128  0.567218  0.567038  6382   0
25     30    -1.4442  1.4442  0      5      5         0.643642  0.643665  0.643619  13515  0
30     35    -1.4442  1.4442  0      5      5         0.699305  0.699325  0.699284  23071  0
35     40    -1.4442  1.4442  0      5      5         0.746419  0.746445  0.746392  35415  0
40     45    -1.4442  1.4442  0      5      5         0.794641  0.794649  0.794633  46398  0
45     50    -1.4442  1.4442  0      5      5         0.822489  0.822579  0.8224    30849  0
50     55    -1.4442  1.4442  0      5      5         0.823327  0.823458  0.823196  11741  0
55     60    -1.4442  1.4442  0      5      5         0.836364  0.836839  0.83589   5608   0
60     500   -1.4442  1.4442  0      5      5         0.855783  0.855948  0.855617  9191   0
20     25    -1.4442  1.4442  5      102    5         0.637693  0.637778  0.637609  8036   0
25     30    -1.4442  1.4442  5      102    5         0.684374  0.684427  0.684321  17277  0
30     35    -1.4442  1.4442  5      102    5         0.728624  0.728685  0.728563  29886  0
35     40    -1.4442  1.4442  5      102    5         0.76496   0.764997  0.764923  45589  0
40     45    -1.4442  1.4442  5      102    5         0.798719  0.798727  0.798711  59759  0
45     50    -1.4442  1.4442  5      102    5         0.814531  0.814546  0.814515  41335  0
50     55    -1.4442  1.4442  5      102    5         0.821384  0.821386  0.821382  16298  0
55     60    -1.4442  1.4442  5      102    5         0.829092  0.829407  0.828777  7486   0
60     500   -1.4442  1.4442  5      102    5         0.845025  0.845204  0.844846  12575  0
20     25    1.566    2.5     0      5      5         0.569903  0.570113  0.569692  3377   0
25     30    1.566    2.5     0      5      5         0.611919  0.611931  0.611907  4891   0
30     35    1.566    2.5     0      5      5         0.658356  0.658582  0.65813   5959   0
35     40    1.566    2.5     0      5      5         0.689827  0.689892  0.689762  6435   0
40     45    1.566    2.5     0      5      5         0.724359  0.724369  0.724349  5093   0
45     50    1.566    2.5     0      5      5         0.74268   0.74274   0.742619  2229   0
50     55    1.566    2.5     0      5      5         0.72154   0.721785  0.721294  987    0
55     60    1.566    2.5     0      5      5         0.767968  0.76833   0.767606  459    0
60     500   1.566    2.5     0      5      5         0.770584  0.771294  0.769874  777    0
20     25    1.566    2.5     5      102    5         0.548355  0.548406  0.548303  4267   0
25     30    1.566    2.5     5      102    5         0.609942  0.61      0.609884  6312   0
30     35    1.566    2.5     5      102    5         0.654978  0.655051  0.654904  7735   0
35     40    1.566    2.5     5      102    5         0.686383  0.686427  0.686339  8540   0
40     45    1.566    2.5     5      102    5         0.714896  0.714995  0.714797  6732   0
45     50    1.566    2.5     5      102    5         0.734068  0.73428   0.733856  3355   0
50     55    1.566    2.5     5      102    5         0.726697  0.726904  0.726489  1269   0
55     60    1.566    2.5     5      102    5         0.755137  0.755892  0.754381  633    0
60     500   1.566    2.5     5      102    5         0.762831  0.763547  0.762115  987    0
20     25    -2.5     -1.566  0      5      5         0.553133  0.553195  0.553071  3360   0
25     30    -2.5     -1.566  0      5      5         0.60351   0.603554  0.603466  4862   0
30     35    -2.5     -1.566  0      5      5         0.646726  0.64674   0.646712  6108   0
35     40    -2.5     -1.566  0      5      5         0.686149  0.686309  0.68599   6320   0
40     45    -2.5     -1.566  0      5      5         0.721724  0.721795  0.721654  4910   0
45     50    -2.5     -1.566  0      5      5         0.742681  0.743745  0.741617  2354   0
50     55    -2.5     -1.566  0      5      5         0.75659   0.757479  0.7557    946    0
55     60    -2.5     -1.566  0      5      5         0.74343   0.746137  0.740724  487    0
60     500   -2.5     -1.566  0      5      5         0.80171   0.80187   0.80155   691    0
20     25    -2.5     -1.566  5      102    5         0.546223  0.546228  0.546218  4293   0
25     30    -2.5     -1.566  5      102    5         0.601605  0.601634  0.601576  6356   0
30     35    -2.5     -1.566  5      102    5         0.652412  0.652675  0.652148  7838   0
35     40    -2.5     -1.566  5      102    5         0.678222  0.678287  0.678158  8412   0
40     45    -2.5     -1.566  5      102    5         0.710139  0.71028   0.709999  6767   0
45     50    -2.5     -1.566  5      102    5         0.736714  0.737229  0.736199  3312   0
50     55    -2.5     -1.566  5      102    5         0.733515  0.733634  0.733396  1377   0
55     60    -2.5     -1.566  5      102    5         0.752323  0.756623  0.748024  640    0
60     500   -2.5     -1.566  5      102    5         0.786579  0.787132  0.786026  990    0
