#efficiency name: ECAL-Trigger
#dimension: 1
#XMin  XMax  EtaMin   EtaMax  PUMin  PUMax  NumParms  eff       systp     systm     den      phistar
20     25    -2.5     -1.566  0      5      5         1.0057    1.01502   0.99638   270.208  0
25     30    -2.5     -1.566  0      5      5         0.971911  0.972433  0.971388  543.096  0
30     35    -2.5     -1.566  0      5      5         0.952645  0.953782  0.951508  714.792  0
35     40    -2.5     -1.566  0      5      5         0.962     0.962837  0.961163  873.883  0
40     45    -2.5     -1.566  0      5      5         0.974431  0.974519  0.974343  954.5    0
45     50    -2.5     -1.566  0      5      5         0.992204  0.994319  0.99009   555.06   0
50     55    -2.5     -1.566  0      5      5         0.992679  0.994102  0.991256  249.277  0
55     60    -2.5     -1.566  0      5      5         0.955618  0.967762  0.943474  98.6405  0
60     500   -2.5     -1.566  0      5      5         0.880193  0.881143  0.879243  226.453  0
20     25    -2.5     -1.566  5      102    5         0.942008  0.947502  0.936514  331.857  0
25     30    -2.5     -1.566  5      102    5         0.953316  0.955587  0.951045  579.04   0
30     35    -2.5     -1.566  5      102    5         0.957117  0.959941  0.954292  808.861  0
35     40    -2.5     -1.566  5      102    5         0.968579  0.968874  0.968284  1015.46  0
40     45    -2.5     -1.566  5      102    5         0.983796  0.984115  0.983477  1143.21  0
45     50    -2.5     -1.566  5      102    5         0.975695  0.979577  0.971813  678.855  0
50     55    -2.5     -1.566  5      102    5         0.910975  0.913386  0.908563  236.133  0
55     60    -2.5     -1.566  5      102    5         0.966892  0.977468  0.956317  139.689  0
60     500   -2.5     -1.566  5      102    5         0.987767  1.00005   0.975481  213.425  0
20     25    -1.4442  1.4442  0      5      5         0.959793  0.960527  0.959059  1071.21  0
25     30    -1.4442  1.4442  0      5      5         0.975957  0.97703   0.974883  2163.54  0
30     35    -1.4442  1.4442  0      5      5         0.979923  0.980192  0.979653  3307.05  0
35     40    -1.4442  1.4442  0      5      5         0.993644  0.99388   0.993408  4347.97  0
40     45    -1.4442  1.4442  0      5      5         0.982133  0.984188  0.980077  5124.09  0
45     50    -1.4442  1.4442  0      5      5         0.990876  0.991283  0.990469  3143.32  0
50     55    -1.4442  1.4442  0      5      5         0.991788  0.992577  0.990999  1274.08  0
55     60    -1.4442  1.4442  0      5      5         0.960561  0.961863  0.95926   645.49   0
60     500   -1.4442  1.4442  0      5      5         0.994552  0.994773  0.994331  1120.86  0
20     25    -1.4442  1.4442  5      102    5         0.928193  0.933487  0.922899  1415.12  0
25     30    -1.4442  1.4442  5      102    5         0.94885   0.949913  0.947786  2433.9   0
30     35    -1.4442  1.4442  5      102    5         0.983075  0.983421  0.98273   3849.62  0
35     40    -1.4442  1.4442  5      102    5         0.976491  0.976644  0.976338  5232.08  0
40     45    -1.4442  1.4442  5      102    5         0.987887  0.988369  0.987406  5965.71  0
45     50    -1.4442  1.4442  5      102    5         0.993733  0.993902  0.993565  3641.44  0
50     55    -1.4442  1.4442  5      102    5         0.999869  1.00028   0.999452  1557.77  0
55     60    -1.4442  1.4442  5      102    5         0.990671  0.990713  0.990629  751.995  0
60     500   -1.4442  1.4442  5      102    5         0.982039  0.982886  0.981192  1359.97  0
20     25    1.566    2.5     0      5      5         0.957394  0.9651    0.949687  338.379  0
25     30    1.566    2.5     0      5      5         0.968023  0.973256  0.96279   480.477  0
30     35    1.566    2.5     0      5      5         0.951941  0.952152  0.95173   686.265  0
35     40    1.566    2.5     0      5      5         0.964244  0.966793  0.961694  887.737  0
40     45    1.566    2.5     0      5      5         0.97911   0.97989   0.97833   991.54   0
45     50    1.566    2.5     0      5      5         0.959337  0.960581  0.958093  581.927  0
50     55    1.566    2.5     0      5      5         0.965702  0.970166  0.961238  208.228  0
55     60    1.566    2.5     0      5      5         0.794503  0.79652   0.792486  98.6126  0
60     500   1.566    2.5     0      5      5         0.972047  0.97635   0.967745  179.713  0
20     25    1.566    2.5     5      102    5         0.968545  0.97121   0.965881  338.895  0
25     30    1.566    2.5     5      102    5         0.969572  0.970511  0.968634  483.623  0
30     35    1.566    2.5     5      102    5         0.993602  0.993986  0.993218  782.061  0
35     40    1.566    2.5     5      102    5         0.971241  0.97204   0.970443  1060.45  0
40     45    1.566    2.5     5      102    5         0.995452  0.99662   0.994283  1127.35  0
45     50    1.566    2.5     5      102    5         0.994563  0.995302  0.993823  654.798  0
50     55    1.566    2.5     5      102    5         0.924592  0.92469   0.924494  272.922  0
55     60    1.566    2.5     5      102    5         0.937209  0.938774  0.935643  167.016  0
60     500   1.566    2.5     5      102    5         0.947695  0.949703  0.945686  248.537  0
# Output directory:  /export/scratch/tmp/gsf_gsf_mc_run_as_data_SQV5PS
