#efficiency name: ECAL-Trigger
#dimension: 1
#XMin  XMax  EtaMin   EtaMax  PUMin  PUMax  NumParms  eff       systp     systm     den      phistar
20     25    -1.4442  1.4442  0      5      5         0.937723  0.939225  0.936222  1148.46  0
25     30    -1.4442  1.4442  0      5      5         0.974502  0.975291  0.973713  2198.09  0
30     35    -1.4442  1.4442  0      5      5         0.979248  0.97936   0.979136  3327.69  0
35     40    -1.4442  1.4442  0      5      5         0.994396  0.994486  0.994306  4314.35  0
40     45    -1.4442  1.4442  0      5      5         0.988502  0.988504  0.9885    4988.04  0
45     50    -1.4442  1.4442  0      5      5         0.98506   0.985349  0.98477   3088.38  0
50     55    -1.4442  1.4442  0      5      5         0.991482  0.992333  0.990632  1249.78  0
55     60    -1.4442  1.4442  0      5      5         0.961255  0.962745  0.959766  625.174  0
60     500   -1.4442  1.4442  0      5      5         0.99393   0.994194  0.993665  1102.76  0
20     25    -1.4442  1.4442  5      102    5         0.919921  0.924481  0.91536   1520.87  0
25     30    -1.4442  1.4442  5      102    5         0.94959   0.950418  0.948762  2485.06  0
30     35    -1.4442  1.4442  5      102    5         0.994065  0.994522  0.993608  3854.02  0
35     40    -1.4442  1.4442  5      102    5         0.977378  0.977618  0.977139  5213.56  0
40     45    -1.4442  1.4442  5      102    5         0.986331  0.986841  0.985821  5880.04  0
45     50    -1.4442  1.4442  5      102    5         0.992372  0.992567  0.992176  3566.47  0
50     55    -1.4442  1.4442  5      102    5         0.999816  1.00013   0.999506  1517.34  0
55     60    -1.4442  1.4442  5      102    5         0.989244  0.989479  0.989009  732.419  0
60     500   -1.4442  1.4442  5      102    5         0.983035  0.983833  0.982238  1330.26  0
20     25    1.566    2.5     0      5      5         0.856283  0.876072  0.836493  419.244  0
25     30    1.566    2.5     0      5      5         0.974968  0.980593  0.969343  456.527  0
30     35    1.566    2.5     0      5      5         0.933792  0.944228  0.923355  681.8    0
35     40    1.566    2.5     0      5      5         0.947774  0.94918   0.946367  804.837  0
40     45    1.566    2.5     0      5      5         0.979211  0.980554  0.977867  936.532  0
45     50    1.566    2.5     0      5      5         0.964277  0.966295  0.962258  615.526  0
50     55    1.566    2.5     0      5      5         0.986138  0.991412  0.980865  200.983  0
55     60    1.566    2.5     0      5      5         0.789537  0.791359  0.787716  92.8242  0
60     500   1.566    2.5     0      5      5         0.970929  0.974227  0.967631  162.754  0
20     25    1.566    2.5     5      102    5         1.01807   1.036     1.00013   363.56   0
25     30    1.566    2.5     5      102    5         0.974123  0.974967  0.97328   462.036  0
30     35    1.566    2.5     5      102    5         1.00738   1.01437   1.0004    727.278  0
35     40    1.566    2.5     5      102    5         1.01444   1.02876   1.00012   960.905  0
40     45    1.566    2.5     5      102    5         0.997761  0.998536  0.996986  1071.85  0
45     50    1.566    2.5     5      102    5         0.992733  0.992934  0.992532  671.525  0
50     55    1.566    2.5     5      102    5         0.941517  0.941917  0.941116  272.214  0
55     60    1.566    2.5     5      102    5         0.923656  0.92382   0.923492  156.848  0
60     500   1.566    2.5     5      102    5         0.972239  0.976438  0.968039  232.118  0
20     25    -2.5     -1.566  0      5      5         0.969992  0.982324  0.957659  289.108  0
25     30    -2.5     -1.566  0      5      5         1.02326   1.0464    1.00011   517.537  0
30     35    -2.5     -1.566  0      5      5         1.01021   1.02011   1.00032   703.82   0
35     40    -2.5     -1.566  0      5      5         0.953485  0.954069  0.952901  809.486  0
40     45    -2.5     -1.566  0      5      5         0.971068  0.971401  0.970735  923.96   0
45     50    -2.5     -1.566  0      5      5         0.987767  0.990514  0.985019  572.826  0
50     55    -2.5     -1.566  0      5      5         0.990556  0.991234  0.989879  252.93   0
55     60    -2.5     -1.566  0      5      5         0.934405  0.948141  0.92067   93.0023  0
60     500   -2.5     -1.566  0      5      5         0.871425  0.873634  0.869217  210.268  0
20     25    -2.5     -1.566  5      102    5         0.950896  0.956734  0.945058  322.449  0
25     30    -2.5     -1.566  5      102    5         0.948523  0.949405  0.947641  558.822  0
30     35    -2.5     -1.566  5      102    5         0.974963  0.978593  0.971333  755.603  0
35     40    -2.5     -1.566  5      102    5         0.962842  0.963425  0.962259  906.059  0
40     45    -2.5     -1.566  5      102    5         0.978916  0.978999  0.978833  1076.59  0
45     50    -2.5     -1.566  5      102    5         0.974706  0.97939   0.970022  693.646  0
50     55    -2.5     -1.566  5      102    5         0.91672   0.917126  0.916314  229.681  0
55     60    -2.5     -1.566  5      102    5         0.999325  1.01833   0.980319  121.798  0
60     500   -2.5     -1.566  5      102    5         0.986853  1.00062   0.973089  191.475  0
# Output directory:  /export/scratch/tmp/gsf_gsf_mc_run_as_data_LMjKrP
