# Output directory:  /export/scratch/tmp/hf_trigger_eff_fits_DUcngo
#efficiency name: HFTID
#dimension: 1
#XMin  XMax  EtaMin  EtaMax  PUMin  PUMax  NumParms  eff       systp     systm     den      phistar
0      0.05  -4.6    -3.1    0      5      5         0.714633  0.716269  0.712997  844.977  1
0.05   0.1   -4.6    -3.1    0      5      5         0.799318  0.803024  0.795611  476.826  1
0.1    0.2   -4.6    -3.1    0      5      5         0.790403  0.802014  0.778793  364.552  1
0.2    1     -4.6    -3.1    0      5      5         0.745994  0.749843  0.742145  368.31   1
0      0.05  -4.6    -3.1    5      102    5         0.748254  0.803682  0.692826  972.23   1
0.05   0.1   -4.6    -3.1    5      102    5         0.742718  0.743271  0.742165  670.063  1
0.1    0.2   -4.6    -3.1    5      102    5         0.708349  0.714105  0.702593  515.401  1
0.2    1     -4.6    -3.1    5      102    5         0.727855  0.731419  0.724291  520.207  1
0      0.05  3.1     4.6     0      5      5         0.788807  0.791635  0.785978  858.588  1
0.05   0.1   3.1     4.6     0      5      5         0.811792  0.820547  0.803037  478.486  1
0.1    0.2   3.1     4.6     0      5      5         0.919295  0.925711  0.91288   358.458  1
0.2    1     3.1     4.6     0      5      5         0.767661  0.772534  0.762787  285.412  1
0      0.05  3.1     4.6     5      102    5         0.758079  0.761141  0.755018  1068.29  1
0.05   0.1   3.1     4.6     5      102    5         0.662008  0.664512  0.659504  587.368  1
0.1    0.2   3.1     4.6     5      102    5         0.737195  0.74058   0.733811  438.96   1
0.2    1     3.1     4.6     5      102    5         0.743124  0.749852  0.736396  442.403  1
