#efficiency name: ECAL-Trigger
#dimension: 1
#XMin  XMax  EtaMin   EtaMax  PUMin  PUMax  NumParms  eff       systp     systm     den      phistar
20     25    -1.4442  1.4442  0      5      5         0.878559  0.879824  0.877293  1396.19  0
25     30    -1.4442  1.4442  0      5      5         0.946339  0.946545  0.946133  2490.15  0
30     35    -1.4442  1.4442  0      5      5         0.971812  0.971978  0.971646  3774.49  0
35     40    -1.4442  1.4442  0      5      5         0.974128  0.974329  0.973927  4740.53  0
40     45    -1.4442  1.4442  0      5      5         0.981357  0.981395  0.98132   5258.01  0
45     50    -1.4442  1.4442  0      5      5         0.980014  0.980225  0.979803  3195.52  0
50     55    -1.4442  1.4442  0      5      5         0.982747  0.984031  0.981462  1260.22  0
55     60    -1.4442  1.4442  0      5      5         0.982677  0.982756  0.982599  576.731  0
60     500   -1.4442  1.4442  0      5      5         0.987887  0.988178  0.987596  872.865  0
20     25    -1.4442  1.4442  5      102    5         0.877767  0.878472  0.877061  1614.66  0
25     30    -1.4442  1.4442  5      102    5         0.935876  0.936025  0.935727  2767.72  0
30     35    -1.4442  1.4442  5      102    5         0.965786  0.965795  0.965777  4232.29  0
35     40    -1.4442  1.4442  5      102    5         0.980566  0.980601  0.980531  5584.99  0
40     45    -1.4442  1.4442  5      102    5         0.982195  0.982513  0.981878  6541.43  0
45     50    -1.4442  1.4442  5      102    5         0.983109  0.983315  0.982903  3766.11  0
50     55    -1.4442  1.4442  5      102    5         0.985722  0.986097  0.985348  1446.54  0
55     60    -1.4442  1.4442  5      102    5         0.981401  0.982879  0.979922  722.377  0
60     500   -1.4442  1.4442  5      102    5         0.983752  0.985036  0.982467  1050.56  0
20     25    1.566    2.5     0      5      5         0.655927  0.656988  0.654865  460.375  0
25     30    1.566    2.5     0      5      5         0.796602  0.797421  0.795784  609.936  0
30     35    1.566    2.5     0      5      5         0.795545  0.796337  0.794754  871.741  0
35     40    1.566    2.5     0      5      5         0.798702  0.799429  0.797975  1193.87  0
40     45    1.566    2.5     0      5      5         0.837823  0.838089  0.837557  1391.84  0
45     50    1.566    2.5     0      5      5         0.823069  0.824224  0.821915  814.376  0
50     55    1.566    2.5     0      5      5         0.833989  0.836364  0.831613  303.013  0
55     60    1.566    2.5     0      5      5         0.960885  0.967898  0.953872  123.663  0
60     500   1.566    2.5     0      5      5         0.799685  0.803849  0.795521  188.741  0
20     25    1.566    2.5     5      102    5         0.64213   0.645366  0.638895  480.797  0
25     30    1.566    2.5     5      102    5         0.735765  0.736172  0.735358  778.213  0
30     35    1.566    2.5     5      102    5         0.755888  0.755935  0.755841  1073.45  0
35     40    1.566    2.5     5      102    5         0.835922  0.83618   0.835664  1398.81  0
40     45    1.566    2.5     5      102    5         0.832695  0.832917  0.832473  1632.58  0
45     50    1.566    2.5     5      102    5         0.824875  0.82513   0.82462   1066.68  0
50     55    1.566    2.5     5      102    5         0.808222  0.808486  0.807958  364.254  0
55     60    1.566    2.5     5      102    5         0.836685  0.842356  0.831015  159      0
60     500   1.566    2.5     5      102    5         0.922359  0.92345   0.921269  237.664  0
20     25    -2.5     -1.566  0      5      5         0.674678  0.677749  0.671607  385.077  0
25     30    -2.5     -1.566  0      5      5         0.726835  0.728096  0.725575  645.994  0
30     35    -2.5     -1.566  0      5      5         0.772534  0.772571  0.772496  959.63   0
35     40    -2.5     -1.566  0      5      5         0.820157  0.820191  0.820124  1241.2   0
40     45    -2.5     -1.566  0      5      5         0.82085   0.821894  0.819806  1372.82  0
45     50    -2.5     -1.566  0      5      5         0.840024  0.840351  0.839698  866.209  0
50     55    -2.5     -1.566  0      5      5         0.858953  0.860118  0.857788  290.429  0
55     60    -2.5     -1.566  0      5      5         0.85028   0.854062  0.846499  108.62   0
60     500   -2.5     -1.566  0      5      5         0.887974  0.88967   0.886278  197.274  0
20     25    -2.5     -1.566  5      102    5         0.674188  0.677578  0.670797  511.779  0
25     30    -2.5     -1.566  5      102    5         0.687774  0.68894   0.686608  736.139  0
30     35    -2.5     -1.566  5      102    5         0.782751  0.783514  0.781987  1056.96  0
35     40    -2.5     -1.566  5      102    5         0.794028  0.794421  0.793635  1374.59  0
40     45    -2.5     -1.566  5      102    5         0.832002  0.832282  0.831722  1674.99  0
45     50    -2.5     -1.566  5      102    5         0.800456  0.801144  0.799769  1026.04  0
50     55    -2.5     -1.566  5      102    5         0.790432  0.790565  0.790298  352.882  0
55     60    -2.5     -1.566  5      102    5         0.926459  0.928085  0.924834  139.611  0
60     500   -2.5     -1.566  5      102    5         0.855778  0.855836  0.855719  225.107  0
# Output directory:  /export/scratch/tmp/gsf_gsf_mc_run_as_data_JsvSlX
