#efficiency name: HFTID
#dimension: 1
#XMin  XMax  EtaMin  EtaMax  PUMin  PUMax  NumParms  eff       systp     systm     den      phistar
0      0.05  3.1     4.6     0      5      5         0.968169  0.974769  0.961569  645.869  1
0.05   0.1   3.1     4.6     0      5      5         0.997128  1.01285   0.981406  259.028  1
0.1    0.2   3.1     4.6     0      5      5         0.889725  0.892478  0.886973  294.482  1
0.2    1     3.1     4.6     0      5      5         0.826445  0.82801   0.82488   289.667  1
0      0.05  3.1     4.6     5      102    5         0.844691  0.852783  0.836599  751.723  1
0.05   0.1   3.1     4.6     5      102    5         0.763312  0.76659   0.760034  448.454  1
0.1    0.2   3.1     4.6     5      102    5         1.01245   1.02427   1.00063   253.241  1
0.2    1     3.1     4.6     5      102    5         0.993502  1.00945   0.977551  271.667  1
0      0.05  -4.6    -3.1    0      5      5         0.929133  0.931007  0.927259  533.99   1
0.05   0.1   -4.6    -3.1    0      5      5         0.895228  0.907268  0.883187  366.328  1
0.1    0.2   -4.6    -3.1    0      5      5         0.915356  0.928094  0.902619  217.63   1
0.2    1     -4.6    -3.1    0      5      5         0.994131  1.00572   0.98254   242.139  1
0      0.05  -4.6    -3.1    5      102    5         0.873108  0.874798  0.871418  785.861  1
0.05   0.1   -4.6    -3.1    5      102    5         0.94142   0.942457  0.940383  449.483  1
0.1    0.2   -4.6    -3.1    5      102    5         0.907507  0.923447  0.891566  357.386  1
0.2    1     -4.6    -3.1    5      102    5         0.852598  0.856656  0.84854   346.967  1
# ALL EVENTS BIN
#0     1     3.1     4.6     0      102    5         0.916114  0.920904  0.911324  6503.09  1
# Output directory:  /export/scratch/tmp/hf_trigger_eff_fits_pKH1rb
