#efficiency name: ECAL-Trigger
#dimension: 1
#XMin  XMax  EtaMin   EtaMax  PUMin  PUMax  NumParms  eff       systp     systm     den    phistar
20     25    -1.4442  1.4442  0      5      5         0.899038  0.899048  0.899027  24213  0
25     30    -1.4442  1.4442  0      5      5         0.945716  0.945891  0.94554   38715  0
30     35    -1.4442  1.4442  0      5      5         0.968863  0.968881  0.968845  54854  0
35     40    -1.4442  1.4442  0      5      5         0.976894  0.976897  0.976891  69430  0
40     45    -1.4442  1.4442  0      5      5         0.982738  0.982753  0.982722  77448  0
45     50    -1.4442  1.4442  0      5      5         0.984611  0.984648  0.984573  49344  0
50     55    -1.4442  1.4442  0      5      5         0.984149  0.98427   0.984027  19558  0
55     60    -1.4442  1.4442  0      5      5         0.986782  0.986998  0.986566  9244   0
60     500   -1.4442  1.4442  0      5      5         0.980977  0.981187  0.980768  14041  0
20     25    -1.4442  1.4442  5      102    5         0.896747  0.89709   0.896403  30925  0
25     30    -1.4442  1.4442  5      102    5         0.946512  0.94652   0.946503  49937  0
30     35    -1.4442  1.4442  5      102    5         0.965219  0.965257  0.965181  69917  0
35     40    -1.4442  1.4442  5      102    5         0.975725  0.975736  0.975715  88802  0
40     45    -1.4442  1.4442  5      102    5         0.982277  0.982309  0.982246  98405  0
45     50    -1.4442  1.4442  5      102    5         0.984522  0.984581  0.984464  65283  0
50     55    -1.4442  1.4442  5      102    5         0.984532  0.984582  0.984482  25732  0
55     60    -1.4442  1.4442  5      102    5         0.982764  0.982932  0.982597  12172  0
60     500   -1.4442  1.4442  5      102    5         0.981644  0.982004  0.981284  18074  0
20     25    1.566    2.5     0      5      5         0.656016  0.656154  0.655877  7588   0
25     30    1.566    2.5     0      5      5         0.689949  0.690074  0.689824  11034  0
30     35    1.566    2.5     0      5      5         0.714366  0.714386  0.714346  14342  0
35     40    1.566    2.5     0      5      5         0.758129  0.758174  0.758084  18617  0
40     45    1.566    2.5     0      5      5         0.764043  0.764128  0.763957  23109  0
45     50    1.566    2.5     0      5      5         0.752187  0.752283  0.752091  16401  0
50     55    1.566    2.5     0      5      5         0.766535  0.767103  0.765966  6270   0
55     60    1.566    2.5     0      5      5         0.771473  0.771715  0.771232  2747   0
60     500   1.566    2.5     0      5      5         0.783066  0.784021  0.78211   3927   0
20     25    1.566    2.5     5      102    5         0.646421  0.647015  0.645828  9456   0
25     30    1.566    2.5     5      102    5         0.687974  0.688022  0.687926  13729  0
30     35    1.566    2.5     5      102    5         0.717964  0.718035  0.717893  18147  0
35     40    1.566    2.5     5      102    5         0.757055  0.757219  0.756892  23604  0
40     45    1.566    2.5     5      102    5         0.77046   0.770461  0.770459  28958  0
45     50    1.566    2.5     5      102    5         0.750111  0.750232  0.749989  22306  0
50     55    1.566    2.5     5      102    5         0.732885  0.733028  0.732743  8712   0
55     60    1.566    2.5     5      102    5         0.746628  0.747252  0.746005  3711   0
60     500   1.566    2.5     5      102    5         0.782764  0.783065  0.782463  5207   0
20     25    -2.5     -1.566  0      5      5         0.6403    0.640354  0.640245  7623   0
25     30    -2.5     -1.566  0      5      5         0.680311  0.680313  0.680309  11070  0
30     35    -2.5     -1.566  0      5      5         0.720227  0.720239  0.720215  14383  0
35     40    -2.5     -1.566  0      5      5         0.754361  0.754496  0.754226  18325  0
40     45    -2.5     -1.566  0      5      5         0.773731  0.773801  0.773661  22828  0
45     50    -2.5     -1.566  0      5      5         0.762624  0.762705  0.762543  16389  0
50     55    -2.5     -1.566  0      5      5         0.764748  0.764969  0.764527  6349   0
55     60    -2.5     -1.566  0      5      5         0.787849  0.78841   0.787287  2721   0
60     500   -2.5     -1.566  0      5      5         0.786812  0.78721   0.786414  3764   0
20     25    -2.5     -1.566  5      102    5         0.630346  0.630426  0.630266  9890   0
25     30    -2.5     -1.566  5      102    5         0.680062  0.680067  0.680057  14015  0
30     35    -2.5     -1.566  5      102    5         0.717279  0.717404  0.717154  18167  0
35     40    -2.5     -1.566  5      102    5         0.755225  0.755256  0.755193  22965  0
40     45    -2.5     -1.566  5      102    5         0.773872  0.773929  0.773815  28840  0
45     50    -2.5     -1.566  5      102    5         0.751991  0.751991  0.75199   22336  0
50     55    -2.5     -1.566  5      102    5         0.751304  0.751433  0.751175  9016   0
55     60    -2.5     -1.566  5      102    5         0.774554  0.775309  0.773799  3637   0
60     500   -2.5     -1.566  5      102    5         0.791952  0.792017  0.791888  5191   0
# Output directory:  /export/scratch/tmp/gsf_gsf_mc_run_as_data_hFktTw
