#efficiency name: GSF (Data)
#dimension: 1
#XMin  XMax  EtaMin   EtaMax  PUMin  PUMax  NumParms  eff       systp     systm     den      phistar
20     25    -1.4442  1.4442  0      5      5         0.901269  0.901536  0.901001  679.319  0
25     30    -1.4442  1.4442  0      5      5         0.952865  0.953144  0.952587  1357.5   0
30     35    -1.4442  1.4442  0      5      5         0.964872  0.965128  0.964615  2269.27  0
35     40    -1.4442  1.4442  0      5      5         0.986645  0.987136  0.986154  3220.39  0
40     45    -1.4442  1.4442  0      5      5         0.989839  0.98985   0.989829  3877.91  0
45     50    -1.4442  1.4442  0      5      5         0.993293  0.993627  0.99296   2202.24  0
50     55    -1.4442  1.4442  0      5      5         0.995944  0.996993  0.994895  745.757  0
55     60    -1.4442  1.4442  0      5      5         1.00771   1.01277   1.00266   315.65   0
60     500   -1.4442  1.4442  0      5      5         0.96286   0.972831  0.952889  430.948  0
20     25    -1.4442  1.4442  5      102    5         0.890828  0.892644  0.889013  803.643  0
25     30    -1.4442  1.4442  5      102    5         0.924321  0.924704  0.923937  1489.7   0
30     35    -1.4442  1.4442  5      102    5         0.973075  0.974262  0.971887  2461.68  0
35     40    -1.4442  1.4442  5      102    5         0.991448  0.991942  0.990954  3625.22  0
40     45    -1.4442  1.4442  5      102    5         0.985818  0.985938  0.985699  4673.26  0
45     50    -1.4442  1.4442  5      102    5         1.00034   1.00041   1.00027   2527.33  0
50     55    -1.4442  1.4442  5      102    5         1.00231   1.00253   1.0021    902.878  0
55     60    -1.4442  1.4442  5      102    5         0.996439  0.998508  0.99437   415.669  0
60     500   -1.4442  1.4442  5      102    5         0.985693  0.987696  0.983689  431.081  0
20     25    1.566    2.5     0      5      5         0.620521  0.623086  0.617957  340.628  0
25     30    1.566    2.5     0      5      5         0.776726  0.778915  0.774536  488.595  0
30     35    1.566    2.5     0      5      5         0.792624  0.793776  0.791472  615.176  0
35     40    1.566    2.5     0      5      5         0.777472  0.77776   0.777183  739.929  0
40     45    1.566    2.5     0      5      5         0.887059  0.88777   0.886348  791.485  0
45     50    1.566    2.5     0      5      5         0.946001  0.946027  0.945975  433.921  0
50     55    1.566    2.5     0      5      5         1.003     1.00347   1.00252   155.385  0
55     60    1.566    2.5     0      5      5         0.900729  0.903032  0.898425  50.1546  0
60     500   1.566    2.5     0      5      5         0.963067  0.971766  0.954368  58.6358  0
20     25    1.566    2.5     5      102    5         0.606786  0.606937  0.606635  406.701  0
25     30    1.566    2.5     5      102    5         0.862167  0.869107  0.855227  518.234  0
30     35    1.566    2.5     5      102    5         0.750834  0.751832  0.749836  755.134  0
35     40    1.566    2.5     5      102    5         0.873918  0.876627  0.87121   933.363  0
40     45    1.566    2.5     5      102    5         0.88291   0.883395  0.882425  989.67   0
45     50    1.566    2.5     5      102    5         0.936339  0.93719   0.935488  514.884  0
50     55    1.566    2.5     5      102    5         1.00368   1.00411   1.00324   182.092  0
55     60    1.566    2.5     5      102    5         0.965642  0.97035   0.960933  68.9852  0
60     500   1.566    2.5     5      102    5         0.902396  0.904092  0.9007    59.6202  0
20     25    -2.5     -1.566  0      5      5         0.66569   0.67161   0.659769  340.632  0
25     30    -2.5     -1.566  0      5      5         0.636234  0.636705  0.635763  533.803  0
30     35    -2.5     -1.566  0      5      5         0.710763  0.712362  0.709165  597.995  0
35     40    -2.5     -1.566  0      5      5         0.801167  0.802388  0.799945  720.655  0
40     45    -2.5     -1.566  0      5      5         0.865457  0.866569  0.864346  793.228  0
45     50    -2.5     -1.566  0      5      5         0.941185  0.944263  0.938107  372.137  0
50     55    -2.5     -1.566  0      5      5         0.913063  0.913895  0.912231  125.045  0
55     60    -2.5     -1.566  0      5      5         0.86681   0.870841  0.862778  50.7104  0
60     500   -2.5     -1.566  0      5      5         0.997964  1.00146   0.994468  56.2064  0
20     25    -2.5     -1.566  5      102    5         0.543152  0.54355   0.542754  357.329  0
25     30    -2.5     -1.566  5      102    5         0.732269  0.734714  0.729824  528.923  0
30     35    -2.5     -1.566  5      102    5         0.760943  0.761562  0.760324  649.655  0
35     40    -2.5     -1.566  5      102    5         0.757958  0.758662  0.757255  837.867  0
40     45    -2.5     -1.566  5      102    5         0.897969  0.899831  0.896107  919.603  0
45     50    -2.5     -1.566  5      102    5         0.941626  0.942727  0.940526  488.814  0
50     55    -2.5     -1.566  5      102    5         0.919512  0.920119  0.918906  117.827  0
55     60    -2.5     -1.566  5      102    5         0.939408  0.94337   0.935446  62.6591  0
60     500   -2.5     -1.566  5      102    5         0.914689  0.917556  0.911822  75.8924  0
# Output directory:  /export/scratch/tmp/gsf_gsf_mc_run_as_data_VnbsUm
