#efficiency name: GSF (MC)
#dimension: 1
#XMin  XMax  EtaMin   EtaMax  PUMin  PUMax  NumParms  eff       systp     systm     den    phistar
20     25    -1.4442  1.4442  0      5      5         0.880635  0.880831  0.88044   15186  0
25     30    -1.4442  1.4442  0      5      5         0.942628  0.942715  0.942542  25392  0
30     35    -1.4442  1.4442  0      5      5         0.964077  0.964184  0.96397   38417  0
35     40    -1.4442  1.4442  0      5      5         0.974524  0.974638  0.974409  51845  0
40     45    -1.4442  1.4442  0      5      5         0.981939  0.981947  0.981932  60493  0
45     50    -1.4442  1.4442  0      5      5         0.984142  0.984152  0.984132  38198  0
50     55    -1.4442  1.4442  0      5      5         0.984238  0.984353  0.984122  14605  0
55     60    -1.4442  1.4442  0      5      5         0.981475  0.98156   0.981391  6700   0
60     500   -1.4442  1.4442  0      5      5         0.981236  0.981289  0.981182  9363   0
20     25    -1.4442  1.4442  5      102    5         0.871711  0.871847  0.871575  19120  0
25     30    -1.4442  1.4442  5      102    5         0.94095   0.941001  0.940898  32250  0
30     35    -1.4442  1.4442  5      102    5         0.964618  0.96465   0.964585  48352  0
35     40    -1.4442  1.4442  5      102    5         0.975258  0.975325  0.975191  65440  0
40     45    -1.4442  1.4442  5      102    5         0.980835  0.980849  0.98082   76668  0
45     50    -1.4442  1.4442  5      102    5         0.982601  0.982623  0.98258   50186  0
50     55    -1.4442  1.4442  5      102    5         0.982276  0.982434  0.982117  19532  0
55     60    -1.4442  1.4442  5      102    5         0.982444  0.982735  0.982154  8722   0
60     500   -1.4442  1.4442  5      102    5         0.981003  0.981005  0.981002  12311  0
20     25    1.566    2.5     0      5      5         0.660281  0.660544  0.660018  5711   0
25     30    1.566    2.5     0      5      5         0.692142  0.692193  0.692091  8204   0
30     35    1.566    2.5     0      5      5         0.718754  0.718953  0.718556  10512  0
35     40    1.566    2.5     0      5      5         0.757837  0.757926  0.757749  12484  0
40     45    1.566    2.5     0      5      5         0.775548  0.775735  0.775361  14426  0
45     50    1.566    2.5     0      5      5         0.794039  0.794222  0.793857  9680   0
50     55    1.566    2.5     0      5      5         0.796292  0.796337  0.796247  3665   0
55     60    1.566    2.5     0      5      5         0.790515  0.792607  0.788422  1511   0
60     500   1.566    2.5     0      5      5         0.804195  0.804249  0.80414   2082   0
20     25    1.566    2.5     5      102    5         0.652733  0.652824  0.652642  7133   0
25     30    1.566    2.5     5      102    5         0.691388  0.691423  0.691353  10320  0
30     35    1.566    2.5     5      102    5         0.717791  0.717881  0.717702  13295  0
35     40    1.566    2.5     5      102    5         0.755825  0.755885  0.755765  16166  0
40     45    1.566    2.5     5      102    5         0.77643   0.776505  0.776354  18399  0
45     50    1.566    2.5     5      102    5         0.783364  0.783365  0.783362  13057  0
50     55    1.566    2.5     5      102    5         0.771406  0.771696  0.771117  4926   0
55     60    1.566    2.5     5      102    5         0.786789  0.787386  0.786192  2062   0
60     500   1.566    2.5     5      102    5         0.802926  0.803018  0.802834  2677   0
20     25    -2.5     -1.566  0      5      5         0.647526  0.647759  0.647292  5839   0
25     30    -2.5     -1.566  0      5      5         0.685744  0.685798  0.685691  8231   0
30     35    -2.5     -1.566  0      5      5         0.717008  0.717063  0.716954  10378  0
35     40    -2.5     -1.566  0      5      5         0.750819  0.750829  0.750809  12412  0
40     45    -2.5     -1.566  0      5      5         0.787462  0.787483  0.78744   14279  0
45     50    -2.5     -1.566  0      5      5         0.791722  0.791731  0.791712  9704   0
50     55    -2.5     -1.566  0      5      5         0.808289  0.808649  0.807929  3609   0
55     60    -2.5     -1.566  0      5      5         0.816149  0.816247  0.816051  1476   0
60     500   -2.5     -1.566  0      5      5         0.829266  0.830357  0.828174  1959   0
20     25    -2.5     -1.566  5      102    5         0.639878  0.639971  0.639785  7296   0
25     30    -2.5     -1.566  5      102    5         0.685787  0.685885  0.68569   10576  0
30     35    -2.5     -1.566  5      102    5         0.714659  0.714793  0.714525  13183  0
35     40    -2.5     -1.566  5      102    5         0.753295  0.753402  0.753188  15893  0
40     45    -2.5     -1.566  5      102    5         0.779603  0.779724  0.779482  18198  0
45     50    -2.5     -1.566  5      102    5         0.783198  0.78323   0.783166  13188  0
50     55    -2.5     -1.566  5      102    5         0.800986  0.801241  0.800732  4994   0
55     60    -2.5     -1.566  5      102    5         0.79941   0.799934  0.798886  2053   0
60     500   -2.5     -1.566  5      102    5         0.815999  0.816208  0.815789  2578   0
# Output directory:  /export/scratch/tmp/gsf_gsf_mc_run_as_data_xjG7bl
