#efficiency name: HFTID
#dimension: 1
#XMin XMax EtaMin  EtaMax  PUMin PUMax NumParms eff      systp    systm    den     phistar
0     0.05 3.1     4.6     0     4     5        0.709124 0.867765 0.550484 555.533 1       
0.05  0.1  3.1     4.6     0     4     5        0.646198 0.793754 0.498642 369.603 1       
0.1   0.2  3.1     4.6     0     4     5        0.753142 1.00625  0.500032 353.735 1       
0.2   3    3.1     4.6     0     4     5        0.611216 0.836754 0.385678 492.875 1       
0     0.05 3.1     4.6     5     30    5        0.741835 0.941915 0.541754 628.96  1       
0.05  0.1  3.1     4.6     5     30    5        0.636105 0.811128 0.461082 408.341 1       
0.1   0.2  3.1     4.6     5     30    5        0.628452 0.867105 0.3898   361.131 1       
0.2   3    3.1     4.6     5     30    5        0.586503 0.829447 0.343559 578.996 1       
0     0.05 -4.6    -3.1    0     4     5        0.732775 0.918662 0.546889 576.354 1       
0.05  0.1  -4.6    -3.1    0     4     5        0.643559 0.772176 0.514941 302.506 1       
0.1   0.2  -4.6    -3.1    0     4     5        0.705188 0.962692 0.447683 345.644 1       
0.2   3    -4.6    -3.1    0     4     5        0.55829  0.791548 0.325031 458.325 1       
0     0.05 -4.6    -3.1    5     30    5        0.665194 0.84302  0.487368 600.697 1       
0.05  0.1  -4.6    -3.1    5     30    5        0.656457 0.836003 0.476911 366.136 1       
0.1   0.2  -4.6    -3.1    5     30    5        0.650337 0.873896 0.426779 388.143 1       
0.2   3    -4.6    -3.1    5     30    5        0.615618 0.914063 0.317174 563.997 1       
