#efficiency name: WP80
#dimension: 1
#XMin XMax EtaMin  EtaMax  PUMin PUMax NumParms eff      systp    systm    den     phistar
0     0.05 -1.4442 1.4442  0     4     5        0.806029 0.817288 0.79477  6467.28 1       
0.05  0.1  -1.4442 1.4442  0     4     5        0.807971 0.826297 0.789645 3479.07 1       
0.1   0.2  -1.4442 1.4442  0     4     5        0.798617 0.819122 0.778112 3211.91 1       
0.2   1    -1.4442 1.4442  0     4     5        0.786088 0.832087 0.740088 3524.92 1       
0     0.05 -1.4442 1.4442  5     10    5        0.78695  0.798417 0.775483 7282.34 1       
0.05  0.1  -1.4442 1.4442  5     10    5        0.772487 0.786878 0.758096 3847.48 1       
0.1   0.2  -1.4442 1.4442  5     10    5        0.765576 0.786422 0.74473  3698.65 1       
0.2   1    -1.4442 1.4442  5     10    5        0.747721 0.784723 0.710719 4081.51 1       
0     0.05 1.566   2.5     0     4     5        0.632624 0.646432 0.618816 2618.3  1       
0.05  0.1  1.566   2.5     0     4     5        0.612833 0.63048  0.595186 1340.4  1       
0.1   0.2  1.566   2.5     0     4     5        0.631402 0.656535 0.606269 1264.57 1       
0.2   1    1.566   2.5     0     4     5        0.623936 0.661694 0.586178 1306.83 1       
0     0.05 1.566   2.5     5     10    5        0.571455 0.584446 0.558463 3011.72 1       
0.05  0.1  1.566   2.5     5     10    5        0.574532 0.590755 0.558308 1517.92 1       
0.1   0.2  1.566   2.5     5     10    5        0.551829 0.572793 0.530866 1389.71 1       
0.2   1    1.566   2.5     5     10    5        0.563686 0.59871  0.528662 1482.49 1       
