#efficiency name: WP80
#dimension: 1
#XMin XMax EtaMin  EtaMax  PUMin PUMax NumParms eff      systp    systm    den     phistar
20    25   -1.4442 1.4442  0     4     5        0.866187 0.868225 0.864148 350.993 0       
25    30   -1.4442 1.4442  0     4     5        0.825541 0.834258 0.816824 1010.99 0       
30    35   -1.4442 1.4442  0     4     5        0.8074   0.82039  0.79441  1983.57 0       
35    40   -1.4442 1.4442  0     4     5        0.813795 0.824186 0.803404 3016.19 0       
40    45   -1.4442 1.4442  0     4     5        0.834769 0.842883 0.826655 4181.65 0       
45    50   -1.4442 1.4442  0     4     5        0.813378 0.823533 0.803223 2663.71 0       
50    55   -1.4442 1.4442  0     4     5        0.789236 0.805634 0.772839 1140.87 0       
55    60   -1.4442 1.4442  0     4     5        0.722092 0.753418 0.690766 584.238 0       
60   520   -1.4442 1.4442  0     4     5        0.687938 0.723564 0.652311 594.607 0       
20    25   -1.4442 1.4442  5     10    5        0.858834 0.864085 0.853583 321     0       
25    30   -1.4442 1.4442  5     10    5        0.806008 0.815878 0.796138 1079.72 0       
30    35   -1.4442 1.4442  5     10    5        0.776869 0.78923  0.764507 2240.02 0       
35    40   -1.4442 1.4442  5     10    5        0.806756 0.81647  0.797042 3569.16 0       
40    45   -1.4442 1.4442  5     10    5        0.807851 0.817568 0.798133 4790.38 0       
45    50   -1.4442 1.4442  5     10    5        0.793472 0.802056 0.784888 3239.9  0       
50    55   -1.4442 1.4442  5     10    5        0.756013 0.766547 0.745479 1385.5  0       
55    60   -1.4442 1.4442  5     10    5        0.688637 0.698492 0.678782 710.587 0       
60   520   -1.4442 1.4442  5     10    5        0.624072 0.647654 0.60049  718.706 0       
20    25   1.566   2.5     0     4     5        0.752757 0.76842  0.737093 114.961 0       
25    30   1.566   2.5     0     4     5        0.627918 0.632502 0.623333 300     0       
30    35   1.566   2.5     0     4     5        0.649699 0.664426 0.634972 557.93  0       
35    40   1.566   2.5     0     4     5        0.655804 0.668798 0.64281  553.151 0       
40    45   1.566   2.5     0     4     5        0.635637 0.647916 0.623358 463.618 0       
45    50   1.566   2.5     0     4     5        0.583292 0.584767 0.581818 221     0       
50    55   1.566   2.5     0     4     5        0.614287 0.628574 0.6      90      0       
55    60   1.566   2.5     0     4     5        0.684389 0.72755  0.641228 44.6662 0       
60   520   1.566   2.5     0     4     5        0.46853  0.534353 0.402707 52.1807 0       
20    25   1.566   2.5     5     10    5        0.547055 0.547368 0.546742 95      0       
25    30   1.566   2.5     5     10    5        0.550019 0.557311 0.542727 331.254 0       
30    35   1.566   2.5     5     10    5        0.553069 0.571529 0.534609 593.957 0       
35    40   1.566   2.5     5     10    5        0.563424 0.579003 0.547845 724.327 0       
40    45   1.566   2.5     5     10    5        0.558737 0.568208 0.549266 535.619 0       
45    50   1.566   2.5     5     10    5        0.560531 0.570675 0.550388 259     0       
50    55   1.566   2.5     5     10    5        0.409548 0.421456 0.397641 109.927 0       
55    60   1.566   2.5     5     10    5        0.37091  0.428779 0.313042 65.8923 0       
60   520   1.566   2.5     5     10    5        0.545809 0.580108 0.511509 65.65   0       
20    25   -2.5    -1.566  0     4     5        0.739505 0.74     0.739011 100     0       
25    30   -2.5    -1.566  0     4     5        0.628172 0.634894 0.621451 318     0       
30    35   -2.5    -1.566  0     4     5        0.643581 0.655627 0.631535 557.927 0       
35    40   -2.5    -1.566  0     4     5        0.662084 0.674033 0.650135 574.727 0       
40    45   -2.5    -1.566  0     4     5        0.646226 0.657205 0.635246 489     0       
45    50   -2.5    -1.566  0     4     5        0.642774 0.677457 0.60809  204.893 0       
50    55   -2.5    -1.566  0     4     5        0.596275 0.641389 0.551161 89.7485 0       
55    60   -2.5    -1.566  0     4     5        0.611363 0.69619  0.526535 39.919  0       
60   520   -2.5    -1.566  0     4     5        0.501287 0.554132 0.448442 62.9657 0       
20    25   -2.5    -1.566  5     10    5        0.66568  0.667129 0.664232 111.923 0       
25    30   -2.5    -1.566  5     10    5        0.519409 0.531946 0.506873 294.959 0       
30    35   -2.5    -1.566  5     10    5        0.539511 0.549647 0.529374 588.486 0       
35    40   -2.5    -1.566  5     10    5        0.621109 0.641754 0.600465 696.462 0       
40    45   -2.5    -1.566  5     10    5        0.614639 0.624811 0.604467 561.349 0       
45    50   -2.5    -1.566  5     10    5        0.530329 0.544339 0.516319 262.529 0       
50    55   -2.5    -1.566  5     10    5        0.549671 0.574559 0.524783 117.914 0       
55    60   -2.5    -1.566  5     10    5        0.503589 0.543996 0.463182 63.6104 0       
60   520   -2.5    -1.566  5     10    5        0.269608 0.286411 0.252804 63.3489 0       
