#efficiency name: HFElectronId-EtaDet
#dimension: 1
#XMin XMax EtaMin  EtaMax  PUMin PUMax NumParms eff      systp    systm    den     phistar
20    25   3.1     4.6     0     5     5        0.822806 0.834489 0.811123 7368.98 0       
25    30   3.1     4.6     0     5     5        0.871421 0.878376 0.864466 8019    0       
30    35   3.1     4.6     0     5     5        0.906603 0.909954 0.903252 7340    0       
35    40   3.1     4.6     0     5     5        0.931231 0.93311  0.929352 5138    0       
40    45   3.1     4.6     0     5     5        0.953504 0.956142 0.950866 2854.93 0       
45    50   3.1     4.6     0     5     5        0.955784 0.95771  0.953858 1332    0       
50    55   3.1     4.6     0     5     5        0.956128 0.960629 0.951627 515.394 0       
55    60   3.1     4.6     0     5     5        0.962104 0.969111 0.955096 241.426 0       
60    500  3.1     4.6     0     5     5        0.993119 0.99479  0.991448 231.178 0       
20    25   3.1     4.6     5     11    5        0.550531 0.561928 0.539133 6392.76 0       
25    30   3.1     4.6     5     11    5        0.648051 0.653321 0.642781 6574    0       
30    35   3.1     4.6     5     11    5        0.709198 0.711676 0.70672  5490    0       
35    40   3.1     4.6     5     11    5        0.770606 0.773483 0.767728 3752    0       
40    45   3.1     4.6     5     11    5        0.819326 0.821502 0.817149 1944    0       
45    50   3.1     4.6     5     11    5        0.890693 0.898731 0.882655 855.344 0       
50    55   3.1     4.6     5     11    5        0.889992 0.900362 0.879622 355.507 0       
55    60   3.1     4.6     5     11    5        0.889196 0.906731 0.871662 147.22  0       
60    500  3.1     4.6     5     11    5        0.93484  0.936794 0.932886 157     0       
20    25   3.1     4.6     11    51    5        0.273662 0.284793 0.262532 1167.6  0       
25    30   3.1     4.6     11    51    5        0.364131 0.367254 0.361007 1110.01 0       
30    35   3.1     4.6     11    51    5        0.435955 0.437224 0.434685 915.343 0       
35    40   3.1     4.6     11    51    5        0.547854 0.552508 0.5432   540.396 0       
40    45   3.1     4.6     11    51    5        0.60916  0.615644 0.602676 307.669 0       
45    50   3.1     4.6     11    51    5        0.664392 0.666439 0.662346 132.025 0       
50    55   3.1     4.6     11    51    5        0.793491 0.822697 0.764285 44.2008 0       
55    60   3.1     4.6     11    51    5        0.613096 0.635959 0.590232 21.799  0       
60    500  3.1     4.6     11    51    5        0.879524 0.880309 0.878738 16.8753 0       
20    25   -4.6    -3.1    0     5     5        0.821932 0.832796 0.811067 7278.64 0       
25    30   -4.6    -3.1    0     5     5        0.870591 0.876135 0.865047 7930.24 0       
30    35   -4.6    -3.1    0     5     5        0.899773 0.903392 0.896153 7120    0       
35    40   -4.6    -3.1    0     5     5        0.933057 0.934672 0.931442 5088    0       
40    45   -4.6    -3.1    0     5     5        0.955245 0.958062 0.952429 2982    0       
45    50   -4.6    -3.1    0     5     5        0.959365 0.962848 0.955882 1301    0       
50    55   -4.6    -3.1    0     5     5        0.9605   0.961485 0.959514 502     0       
55    60   -4.6    -3.1    0     5     5        0.998206 1.00521  0.991201 205.46  0       
60    500  -4.6    -3.1    0     5     5        0.969692 0.971642 0.967742 226     0       
20    25   -4.6    -3.1    5     11    5        0.560069 0.571237 0.548901 6202.44 0       
25    30   -4.6    -3.1    5     11    5        0.634604 0.63806  0.631147 6402.37 0       
30    35   -4.6    -3.1    5     11    5        0.714998 0.717768 0.712227 5559.37 0       
35    40   -4.6    -3.1    5     11    5        0.768042 0.772008 0.764076 3651    0       
40    45   -4.6    -3.1    5     11    5        0.829078 0.835347 0.822809 1964.71 0       
45    50   -4.6    -3.1    5     11    5        0.875791 0.886479 0.865103 877.573 0       
50    55   -4.6    -3.1    5     11    5        0.85557  0.86061  0.850529 363.707 0       
55    60   -4.6    -3.1    5     11    5        0.956423 0.956911 0.955935 141.91  0       
60    500  -4.6    -3.1    5     11    5        0.9701   0.970938 0.969262 172.497 0       
20    25   -4.6    -3.1    11    51    5        0.317816 0.327497 0.308135 1121.08 0       
25    30   -4.6    -3.1    11    51    5        0.364153 0.368017 0.360289 1080.69 0       
30    35   -4.6    -3.1    11    51    5        0.421995 0.425142 0.418848 838.765 0       
35    40   -4.6    -3.1    11    51    5        0.539168 0.542817 0.535519 564.939 0       
40    45   -4.6    -3.1    11    51    5        0.597612 0.601287 0.593938 275.764 0       
45    50   -4.6    -3.1    11    51    5        0.710529 0.744762 0.676296 117.794 0       
50    55   -4.6    -3.1    11    51    5        0.707387 0.727273 0.6875   48      0       
55    60   -4.6    -3.1    11    51    5        0.776555 0.789474 0.763636 20      0       
60    500  -4.6    -3.1    11    51    5        0.860578 0.875002 0.846154 26      0       
