# EB EB
#efficiency name: WP80
#dimension: 1
#XMin XMax EtaMin  EtaMax  PUMin PUMax NumParms eff      systp    systm    den     phistar
20    25   -1.4442 1.4442  0     5     5        0.639548 0.654556 0.62454  7436.64 0       
25    30   -1.4442 1.4442  0     5     5        0.732567 0.74289  0.722244 15394   0       
30    35   -1.4442 1.4442  0     5     5        0.802673 0.807617 0.797729 26519   0       
35    40   -1.4442 1.4442  0     5     5        0.845859 0.847096 0.844621 39971   0       
40    45   -1.4442 1.4442  0     5     5        0.880502 0.881422 0.879581 51928   0       
45    50   -1.4442 1.4442  0     5     5        0.896161 0.89716  0.895162 35205   0       
50    55   -1.4442 1.4442  0     5     5        0.898932 0.90068  0.897184 13652.7 0       
55    60   -1.4442 1.4442  0     5     5        0.897303 0.897568 0.897038 6422.23 0       
60    500  -1.4442 1.4442  0     5     5        0.89961  0.900514 0.898706 10852.8 0       
20    25   -1.4442 1.4442  5     11    5        0.492048 0.503677 0.480418 7079    0       
25    30   -1.4442 1.4442  5     11    5        0.613052 0.620464 0.605641 14897   0       
30    35   -1.4442 1.4442  5     11    5        0.709331 0.713411 0.705251 25076   0       
35    40   -1.4442 1.4442  5     11    5        0.775935 0.777233 0.774637 38348   0       
40    45   -1.4442 1.4442  5     11    5        0.830467 0.831318 0.829616 50258   0       
45    50   -1.4442 1.4442  5     11    5        0.861096 0.861989 0.860204 34494.6 0       
50    55   -1.4442 1.4442  5     11    5        0.871841 0.873394 0.870287 13385   0       
55    60   -1.4442 1.4442  5     11    5        0.871341 0.873367 0.869315 6170.33 0       
60    500  -1.4442 1.4442  5     11    5        0.89156  0.894244 0.888877 9974.73 0       
20    25   -1.4442 1.4442  11    101   5        0.492048 0.503677 0.480418 7079    0       
25    30   -1.4442 1.4442  11    101   5        0.613052 0.620464 0.605641 14897   0       
30    35   -1.4442 1.4442  11    101   5        0.709331 0.713411 0.705251 25076   0       
35    40   -1.4442 1.4442  11    101   5        0.775935 0.777233 0.774637 38348   0       
40    45   -1.4442 1.4442  11    101   5        0.830467 0.831318 0.829616 50258   0       
45    50   -1.4442 1.4442  11    101   5        0.861096 0.861989 0.860204 34494.6 0       
50    55   -1.4442 1.4442  11    101   5        0.871841 0.873394 0.870287 13385   0       
55    60   -1.4442 1.4442  11    101   5        0.871341 0.873367 0.869315 6170.33 0       
60    500  -1.4442 1.4442  11    101   5        0.89156  0.894244 0.888877 9974.73 0       
# EB EE
20    25   1.566   2.5     0     5     5        0.523226 0.529825 0.516626 7854    0       
25    30   1.566   2.5     0     5     5        0.591511 0.594958 0.588065 11413   0       
30    35   1.566   2.5     0     5     5        0.660179 0.662548 0.657809 13860   0       
35    40   1.566   2.5     0     5     5        0.698784 0.69988  0.697689 14719   0       
40    45   1.566   2.5     0     5     5        0.744959 0.745371 0.744547 11475   0       
45    50   1.566   2.5     0     5     5        0.760109 0.76238  0.757837 5391.83 0       
50    55   1.566   2.5     0     5     5        0.772994 0.776248 0.76974  2284    0       
55    60   1.566   2.5     0     5     5        0.768548 0.778065 0.759031 1121.31 0       
60    500  1.566   2.5     0     5     5        0.810016 0.812804 0.807229 1707    0       
20    25   1.566   2.5     5     11    5        0.338294 0.343053 0.333535 6617    0       
25    30   1.566   2.5     5     11    5        0.418606 0.422561 0.414651 10016   0       
30    35   1.566   2.5     5     11    5        0.495559 0.497075 0.494043 12602   0       
35    40   1.566   2.5     5     11    5        0.559699 0.560681 0.558716 13932   0       
40    45   1.566   2.5     5     11    5        0.614734 0.615216 0.614252 11199.6 0       
45    50   1.566   2.5     5     11    5        0.660479 0.66212  0.658837 5463.51 0       
50    55   1.566   2.5     5     11    5        0.661643 0.664814 0.658472 2095.5  0       
55    60   1.566   2.5     5     11    5        0.735992 0.738884 0.7331   1021.15 0       
60    500  1.566   2.5     5     11    5        0.74641  0.751187 0.741633 1528    0       
20    25   1.566   2.5     11    101   5        0.338294 0.343053 0.333535 6617    0       
25    30   1.566   2.5     11    101   5        0.418606 0.422561 0.414651 10016   0       
30    35   1.566   2.5     11    101   5        0.495559 0.497075 0.494043 12602   0       
35    40   1.566   2.5     11    101   5        0.559699 0.560681 0.558716 13932   0       
40    45   1.566   2.5     11    101   5        0.614734 0.615216 0.614252 11199.6 0       
45    50   1.566   2.5     11    101   5        0.660479 0.66212  0.658837 5463.51 0       
50    55   1.566   2.5     11    101   5        0.661643 0.664814 0.658472 2095.5  0       
55    60   1.566   2.5     11    101   5        0.735992 0.738884 0.7331   1021.15 0       
60    500  1.566   2.5     11    101   5        0.74641  0.751187 0.741633 1528    0       
# EB EE
20    25   -2.5  -1.566     0     5     5        0.523226 0.529825 0.516626 7854    0       
25    30   -2.5  -1.566     0     5     5        0.591511 0.594958 0.588065 11413   0       
30    35   -2.5  -1.566     0     5     5        0.660179 0.662548 0.657809 13860   0       
35    40   -2.5  -1.566     0     5     5        0.698784 0.69988  0.697689 14719   0       
40    45   -2.5  -1.566     0     5     5        0.744959 0.745371 0.744547 11475   0       
45    50   -2.5  -1.566     0     5     5        0.760109 0.76238  0.757837 5391.83 0       
50    55   -2.5  -1.566     0     5     5        0.772994 0.776248 0.76974  2284    0       
55    60   -2.5  -1.566     0     5     5        0.768548 0.778065 0.759031 1121.31 0       
60    500  -2.5  -1.566     0     5     5        0.810016 0.812804 0.807229 1707    0       
20    25   -2.5  -1.566     5     11    5        0.338294 0.343053 0.333535 6617    0       
25    30   -2.5  -1.566     5     11    5        0.418606 0.422561 0.414651 10016   0       
30    35   -2.5  -1.566     5     11    5        0.495559 0.497075 0.494043 12602   0       
35    40   -2.5  -1.566     5     11    5        0.559699 0.560681 0.558716 13932   0       
40    45   -2.5  -1.566     5     11    5        0.614734 0.615216 0.614252 11199.6 0       
45    50   -2.5  -1.566     5     11    5        0.660479 0.66212  0.658837 5463.51 0       
50    55   -2.5  -1.566     5     11    5        0.661643 0.664814 0.658472 2095.5  0       
55    60   -2.5  -1.566     5     11    5        0.735992 0.738884 0.7331   1021.15 0       
60    500  -2.5  -1.566     5     11    5        0.74641  0.751187 0.741633 1528    0       
20    25   -2.5  -1.566     11    101   5        0.338294 0.343053 0.333535 6617    0       
25    30   -2.5  -1.566     11    101   5        0.418606 0.422561 0.414651 10016   0       
30    35   -2.5  -1.566     11    101   5        0.495559 0.497075 0.494043 12602   0       
35    40   -2.5  -1.566     11    101   5        0.559699 0.560681 0.558716 13932   0       
40    45   -2.5  -1.566     11    101   5        0.614734 0.615216 0.614252 11199.6 0       
45    50   -2.5  -1.566     11    101   5        0.660479 0.66212  0.658837 5463.51 0       
50    55   -2.5  -1.566     11    101   5        0.661643 0.664814 0.658472 2095.5  0       
55    60   -2.5  -1.566     11    101   5        0.735992 0.738884 0.7331   1021.15 0       
60    500  -2.5  -1.566     11    101   5        0.74641  0.751187 0.741633 1528    0 
