#First_Run  Last_Run  Menu
160404      160406    /cdaq/physics/Run2011/5e32/v4.2/HLT/V2
160410      160413    /cdaq/physics/Run2011/5e32/v4.2/HLT/V5
160431      160463    /cdaq/physics/Run2011/5e32/v4.2/HLT/V6
160497      160579    /cdaq/physics/Run2011/5e32/v4.2/HLT/V7
160808      160815    /cdaq/physics/Run2011/5e32/v4.2/HLT/V8
160819      160819    /cdaq/physics/Run2011/5e32/v4.3/HLT/V3
160827      160835    /cdaq/physics/Run2011/5e32/v4.3/HLT/V4
160853      160877    /cdaq/physics/Run2011/5e32/v5.1/HLT/V3
160888      160888    /cdaq/physics/Run2011/5e32/v5.2/HLT/V2
160890      160890    /cdaq/physics/Run2011/5e32/v5.2/HLT/V5
160894      160898    /cdaq/physics/Run2011/5e32/v5.2/HLT/V6
160907      160943    /cdaq/physics/Run2011/5e32/v5.2/HLT/V7
160955      161020    /cdaq/physics/Run2011/5e32/v5.3/HLT/V1
161103      161176    /cdaq/physics/Run2011/5e32/v5.3/HLT/V2
161216      161216    /cdaq/physics/Run2011/5e32/v6.1/HLT/V1
161217      161217    /cdaq/physics/Run2011/5e32/v6.1/HLT/V3
161222      161233    /cdaq/physics/Run2011/5e32/v6.1/HLT/V5
161310      161312    /cdaq/physics/Run2011/5e32/v6.1/HLT/V6
162718      162765    /cdaq/physics/Run2011/5e32/v6.2/HLT/V2
162803      162926    /cdaq/physics/Run2011/5e32/v6.2/HLT/V3
162929      163261    /cdaq/physics/Run2011/5e32/v6.2/HLT/V4
163269      163270    /cdaq/physics/Run2011/5e32/v8.1/HLT/V5
163286      163289    /cdaq/physics/Run2011/5e32/v8.1/HLT/V6
163296      163334    /cdaq/physics/Run2011/5e32/v8.1/HLT/V8
163337      163668    /cdaq/physics/Run2011/5e32/v8.2/HLT/V3
163738      163753    /cdaq/physics/Run2011/5e32/v8.3/HLT/V2
163754      163754    /cdaq/physics/Run2011/5e32/v8.3/HLT/V3
163757      163869    /cdaq/physics/Run2011/5e32/v8.3/HLT/V4
#165088     165121    /cdaq/physics/Run2011/1e33/v1.3/HLT/V2
#165205     165205    /cdaq/physics/Run2011/1e33/v1.3/HLT/V6
#165208     165208    /cdaq/physics/Run2011/1e33/v1.3/HLT/V7
#165364     165364    /cdaq/physics/Run2011/1e33/v1.3/HLT/V12
#165400     165633    /cdaq/physics/Run2011/1e33/v1.3/HLT/V13
#165970     165993    /cdaq/physics/Run2011/1e33/v2.3/HLT/V1
#166010     166150    /cdaq/physics/Run2011/1e33/v2.3/HLT/V3
#166161     166164    /cdaq/physics/Run2011/1e33/v2.4/HLT/V2
#166346     166346    /cdaq/physics/Run2011/1e33/v2.5/HLT/V1
#166374     166512    /cdaq/physics/Run2011/1e33/v2.4/HLT/V4
#166514     166782    /cdaq/physics/Run2011/1e33/v2.4/HLT/V5
#166784     166787    /cdaq/physics/Run2011/1e33/v2.4/HLT/V6
#166839     166967    /cdaq/physics/Run2011/1e33/v2.4/HLT/V8
#167039     167043    /cdaq/physics/Run2011/1.4e33/v1.1/HLT/V1
#167078     167284    /cdaq/physics/Run2011/1.4e33/v1.2/HLT/V1
#167551     167913    /cdaq/physics/Run2011/1.4e33/v1.2/HLT/V3
#170249     170406    /cdaq/physics/Run2011/2e33/v1.1/HLT/V1
#170452     170759    /cdaq/physics/Run2011/2e33/v1.1/HLT/V2
#170826     171178    /cdaq/physics/Run2011/2e33/v1.2/HLT/V1
#171219     172033    /cdaq/physics/Run2011/2e33/v1.2/HLT/V4
#172163     172411    /cdaq/physics/Run2011/2e33/v1.2/HLT/V5
#172478     173198    /cdaq/physics/Run2011/2e33/v1.2/HLT/V7
#173236     173241    /cdaq/physics/Run2011/3e33/v1.1/HLT/V1
#173243     173244    /cdaq/physics/Run2011/3e33/v1.1/HLT/V3
#173380     173439    /cdaq/physics/Run2011/3e33/v1.1/HLT/V4
#173657     173692    /cdaq/physics/Run2011/3e33/v1.2/HLT/V1
#175832     175837    /cdaq/physics/Run2011/3e33/v2.0/HLT/V4
#175857     175921    /cdaq/physics/Run2011/3e33/v2.0/HLT/V7
#175971     176023    /cdaq/physics/Run2011/3e33/v2.1/HLT/V1
#176161     176207    /cdaq/physics/Run2011/3e33/v2.1/HLT/V2
#176286     176309    /cdaq/physics/Run2011/3e33/v2.2/HLT/V3
#176461     176470    /cdaq/physics/Run2011/3e33/v2.3/HLT/V2
#176545     176548    /cdaq/physics/Run2011/3e33/v3.0/HLT/V2
#176697     177053    /cdaq/physics/Run2011/3e33/v3.1/HLT/V1
#177074     177184    /cdaq/physics/Run2011/3e33/v4.0/HLT/V2
#177201     177201    /cdaq/physics/Run2011/3e33/v4.0/HLT/V3
#177222     177878    /cdaq/physics/Run2011/3e33/v4.0/HLT/V5
#177718     177719    /cdaq/physics/Run2011/3e33/v4.0/HLT/V6
#178078     178380    /cdaq/physics/Run2011/3e33/v5.0/HLT/V1
#178420     178479    /cdaq/physics/Run2011/5e33/v1.4/HLT/V3
#178667     178708    /cdaq/physics/Run2011/5e33/v1.4/HLT/V4
#178712     179889    /cdaq/physics/Run2011/5e33/v1.4/HLT/V5
#179959     180093    /cdaq/physics/Run2011/5e33/v2.2/HLT/V2
#180241     180252    /cdaq/physics/Run2011/5e33/v2.2/HLT/V4
