#    ptBin     ptMin     ptMax   Value     Error
       1       0.0       2.5     0.48      0.14
       2       2.5       5.0     1.25      0.28
       3       5.0       7.5     1.52      0.33
       4       7.5      10.0     1.16      0.26
       5      10.0      12.5     1.02      0.24
       6      12.5      15.0     1.00      0.23
       7      15.0      17.5     0.84      0.21
       8      17.5      20.0     0.80      0.20
       9      20.0      30.0     1.34      0.30
      10      30.0      40.0     0.45      0.13
      11      40.0      50.0     0.27      0.09
      12      50.0      70.0     0.23      0.08
      13      70.0      90.0     0.07      0.04
      14      90.0     110.0     0.05      0.03
      15     110.0     150.0     0.02      0.02
      16     150.0     190.0     0.00      0.00
      17     190.0     250.0     0.00      0.00
      18     250.0     600.0     0.00      0.00
