# 
#       Bin     Y_Min     Y_Max     Value  Uncertainty
         1        0.7        2.5 0.000160864 0.00314135
         2        2.5          5 2.54007e-05 0.00205092
         3          5        7.5 1.35469e-05 0.00195649
         4        7.5         10 5.85048e-05 0.00211325
         5         10       12.5 5.02755e-05 0.00236362
         6       12.5         15 5.45116e-05 0.00265488
         7         15       17.5 5.61649e-05 0.00297921
         8       17.5         20 0.000119952 0.00329861
         9         20         30 0.000121506 0.00208095
        10         30         40 0.000231052 0.00291183
        11         40         50 0.000190449 0.00384725
        12         50         70 0.00010731 0.00383075
        13         70         90 0.000209349 0.00591139
        14         90        110 7.55997e-05  0.0086654
        15        110        150 0.000456491  0.0096371
        16        150        190 0.00126237  0.0164202
        17        190        250 0.00156095  0.0236936
        18        250        600 0.00116461  0.0344134
        19        600       3500 0.000131254   0.577302
