# 
#       Bin     Y_Min     Y_Max     Value  Uncertainty
         1        0.7        2.5 0.000202523  0.0031402
         2        2.5          5 0.000113535 0.00205053
         3          5        7.5 0.000131883 0.00195626
         4        7.5         10 0.000207565  0.0021138
         5         10       12.5 7.51629e-05 0.00236354
         6       12.5         15 9.88409e-05  0.0026587
         7         15       17.5 0.00019634 0.00297855
         8       17.5         20 0.000108391 0.00330286
         9         20         30 0.000144302 0.00208222
        10         30         40 0.000507038 0.00291407
        11         40         50 0.000194171 0.00384571
        12         50         70 0.000229404 0.00383585
        13         70         90  0.0007741 0.00591059
        14         90        110 0.00133749 0.00865586
        15        110        150 0.00184791 0.00962848
        16        150        190 0.00132747  0.0164766
        17        190        250  0.0032108  0.0238314
        18        250        600 0.00267935  0.0346634
        19        600       3500 3.88647e-05   0.577347
