#put your comments after a '#'.
#Variable name: pt
#    ptBin    ptMin     ptMax      Value     Error
          1          0        2.5      645.1      26.01
          2        2.5          5       1314      37.23
          3          5        7.5       1281      36.97
          4        7.5         10       1016       33.2
          5         10       12.5      842.2      30.45
          6       12.5         15      662.1      26.95
          7         15       17.5      501.2      23.68
          8       17.5         20      414.2      21.67
          9         20         30       1050       35.1
         10         30         40      517.2      24.33
         11         40         50      294.1      18.44
         12         50         70        327      19.21
         13         70         90        155      13.13
         14         90        110      82.51      9.339
         15        110        150      68.92      8.623
         16        150        190      18.44      4.559
         17        190        250      8.934      2.976
         18        250        600      2.107      1.538
