#                                  ERROR    MC         DATA             
          1          0        2.5  0.035    0.026      0.044      
          2        2.5          5  0.013    0.013      0.002      
          3          5        7.5  0.007    0.001      0.007      
          4        7.5         10  0.018    0.002      0.018      
          5         10       12.5  0.007    0.011      0.013      
          6       12.5         15  0.016        0      0.016      
          7         15       17.5  0.019    0.008      0.021      
          8       17.5         20  0.019    0.005       0.02      
          9         20         30  0.005    0.005      0.002      
         10         30         40  0.022    0.004      0.022      
         11         40         50  0.010    0.001       0.01      
         12         50         70  0.008    0.004      0.009      
         13         70         90  0.040    0.006       0.04      
         14         90        110  0.017    0.005      0.018      
         15        110        150  0.020    0.003       0.02      
         16        150        190  0.053    0.006      0.053      
         17        190        250  0.040        0       0.04      
         18        250        600  0.005    0.005          0      
