# 
#       Bin     Y_Min     Y_Max     Value  Uncertainty
         1        0.7        2.5 0.00225289  0.0474647
         2        2.5          5 0.00232329  0.0482006
         3          5        7.5  0.0021903  0.0468007
         4        7.5         10 0.00195366  0.0442002
         5         10       12.5  0.0019654  0.0443329
         6       12.5         15 0.00117837  0.0343275
         7         15       17.5 0.00140425  0.0374734
         8       17.5         20 0.00130779  0.0361634
         9         20         30 0.00204987  0.0452755
        10         30         40 0.00407543  0.0638391
        11         40         50 0.00492132  0.0701521
        12         50         70 0.00521291  0.0722005
        13         70         90 0.00548927  0.0740896
        14         90        110 0.00613251  0.0783103
        15        110        150 0.00755522  0.0869208
        16        150        190 0.00659136  0.0811872
        17        190        250  0.0106073   0.102992
        18        250        600  0.0127793   0.113046
        19        600       3500          0          0
