# 
#       Bin     Y_Min     Y_Max     Value  Uncertainty
         1        0.7        2.5 0.000437315 0.00314079
         2        2.5          5 0.00047112 0.00204895
         3          5        7.5 0.000396508 0.00195584
         4        7.5         10 0.000605664 0.00211155
         5         10       12.5 0.000170494  0.0023632
         6       12.5         15 0.000310861 0.00265689
         7         15       17.5  0.0005582 0.00297793
         8       17.5         20 0.000609105 0.00329941
         9         20         30 0.000796403 0.00208148
        10         30         40 0.00111314 0.00290946
        11         40         50 0.00102269 0.00385203
        12         50         70 0.00138373 0.00384039
        13         70         90 0.00187931 0.00592083
        14         90        110 0.00125438 0.00864507
        15        110        150 0.00200736 0.00964079
        16        150        190 0.00354149  0.0165018
        17        190        250 0.00188451  0.0237145
        18        250        600 0.00562297  0.0347962
        19        600       3500 0.00428514   0.575461
