# 
#       Bin     Y_Min     Y_Max     Value  Uncertainty
         1         -5       -4.9          0          0
         2       -4.9       -4.8          0          0
         3       -4.8       -4.7          0          0
         4       -4.7       -4.6          0          0
         5       -4.6       -4.5          0          0
         6       -4.5       -4.4          0          0
         7       -4.4       -4.3          0          0
         8       -4.3       -4.2          0          0
         9       -4.2       -4.1          0          0
        10       -4.1         -4          0          0
        11         -4       -3.9          0          0
        12       -3.9       -3.8          0          0
        13       -3.8       -3.7   0.128841   0.358944
        14       -3.7       -3.6  0.0655786   0.256083
        15       -3.6       -3.5  0.0143302   0.119709
        16       -3.5       -3.4  0.0114913   0.107198
        17       -3.4       -3.3 0.00310989  0.0557664
        18       -3.3       -3.2 0.00916312  0.0957242
        19       -3.2       -3.1  0.0126513   0.112478
        20       -3.1         -3  0.0109542   0.104662
        21         -3       -2.9 0.00314082   0.056043
        22       -2.9       -2.8 0.00325191  0.0570255
        23       -2.8       -2.7 0.00547565  0.0739976
        24       -2.7       -2.6 0.00560716   0.074881
        25       -2.6       -2.5  0.0101915   0.100953
        26       -2.5       -2.4 0.00163226  0.0404013
        27       -2.4       -2.3 0.00305072  0.0552334
        28       -2.3       -2.2 0.00317337  0.0563327
        29       -2.2       -2.1 0.00108795  0.0329841
        30       -2.1         -2 0.00103295  0.0321396
        31         -2       -1.9 0.000948277  0.0307941
        32       -1.9       -1.8 0.00155319  0.0394105
        33       -1.8       -1.7 0.000490192  0.0221403
        34       -1.7       -1.6 0.000929893  0.0304941
        35       -1.6       -1.5 0.00058316  0.0241487
        36       -1.5       -1.4 0.00107292  0.0327555
        37       -1.4       -1.3 0.000526719  0.0229504
        38       -1.3       -1.2 0.000942881  0.0307064
        39       -1.2       -1.1 0.000386666  0.0196638
        40       -1.1         -1 0.000511656  0.0226198
        41         -1       -0.9 0.000652031  0.0255349
        42       -0.9       -0.8 0.000937292  0.0306152
        43       -0.8       -0.7 0.000607579  0.0246491
        44       -0.7       -0.6 0.000837256  0.0289354
        45       -0.6       -0.5 0.000666422  0.0258152
        46       -0.5       -0.4 0.000376817  0.0194118
        47       -0.4       -0.3 0.000396771  0.0199191
        48       -0.3       -0.2 0.000564679   0.023763
        49       -0.2       -0.1   0.001067  0.0326649
        50       -0.1          0 0.000229586  0.0151521
        51          0        0.1 0.000456201  0.0213589
        52        0.1        0.2 0.000986011  0.0314008
        53        0.2        0.3 0.00114642  0.0338588
        54        0.3        0.4 0.000508001  0.0225389
        55        0.4        0.5 0.000159929  0.0126463
        56        0.5        0.6 0.00105908  0.0325435
        57        0.6        0.7  0.0009053  0.0300882
        58        0.7        0.8 0.000105005  0.0102472
        59        0.8        0.9 0.00110577  0.0332531
        60        0.9          1 0.000544347  0.0233313
        61          1        1.1 0.000657145  0.0256348
        62        1.1        1.2 0.000349258  0.0186884
        63        1.2        1.3 0.000552268  0.0235004
        64        1.3        1.4 0.000999494  0.0316148
        65        1.4        1.5 0.000192819  0.0138859
        66        1.5        1.6 0.000543256  0.0233079
        67        1.6        1.7 0.000194819  0.0139578
        68        1.7        1.8  0.0027909  0.0528289
        69        1.8        1.9 0.00047446  0.0217821
        70        1.9          2 0.000394538   0.019863
        71          2        2.1 0.000339772  0.0184329
        72        2.1        2.2 0.000280275  0.0167414
        73        2.2        2.3 0.00142508  0.0377502
        74        2.3        2.4 0.00107779  0.0328298
        75        2.4        2.5 0.00271947  0.0521486
        76        2.5        2.6 0.00626136  0.0791288
        77        2.6        2.7 0.00334684  0.0578519
        78        2.7        2.8 0.00299629  0.0547384
        79        2.8        2.9 0.00829776  0.0910921
        80        2.9          3 0.00995211  0.0997603
        81          3        3.1  0.0053082  0.0728574
        82        3.1        3.2 0.00563054   0.075037
        83        3.2        3.3  0.0202763   0.142395
        84        3.3        3.4  0.0133662   0.115612
        85        3.4        3.5  0.0108394   0.104112
        86        3.5        3.6  0.0737609    0.27159
        87        3.6        3.7  0.0802266   0.283243
        88        3.7        3.8   0.170266   0.412633
        89        3.8        3.9          0          0
        90        3.9          4          0          0
        91          4        4.1          0          0
        92        4.1        4.2          0          0
        93        4.2        4.3          0          0
        94        4.3        4.4          0          0
        95        4.4        4.5          0          0
        96        4.5        4.6          0          0
        97        4.6        4.7          0          0
        98        4.7        4.8          0          0
        99        4.8        4.9          0          0
       100        4.9          5          0          0
